approval_event_id,store_id,terminal_id,event_result,payment_channel,response_code,response_message,observed_at,recorded_at,available_at
APR-SYN-011,STR-SYN-011,TERM-SYN-011-OLD,transport_error,card_terminal,SYN-ID-01,단말기 식별 정보 확인 필요,2026-06-20T16:20:00+09:00,2026-06-20T16:20:01+09:00,2026-06-20T16:20:02+09:00
APR-SYN-012,STR-SYN-012,TERM-SYN-012-OLD,transport_error,card_terminal,SYN-ID-01,단말기 식별 정보 확인 필요,2026-06-21T16:20:00+09:00,2026-06-21T16:20:01+09:00,2026-06-21T16:20:02+09:00
APR-SYN-013,STR-SYN-013,TERM-SYN-013-OLD,transport_error,card_terminal,SYN-ID-01,단말기 식별 정보 확인 필요,2026-06-22T16:20:00+09:00,2026-06-22T16:20:01+09:00,2026-06-22T16:20:02+09:00
APR-SYN-014,STR-SYN-014,TERM-SYN-014-OLD,transport_error,card_terminal,SYN-ID-01,단말기 식별 정보 확인 필요,2026-06-23T16:20:00+09:00,2026-06-23T16:20:01+09:00,2026-06-23T16:20:02+09:00
APR-SYN-015,STR-SYN-015,TERM-SYN-015-OLD,transport_error,card_terminal,SYN-ID-01,단말기 식별 정보 확인 필요,2026-06-24T16:20:00+09:00,2026-06-24T16:20:01+09:00,2026-06-24T16:20:02+09:00
APR-SYN-016,STR-SYN-016,TERM-SYN-016-OLD,transport_error,card_terminal,SYN-ID-01,단말기 식별 정보 확인 필요,2026-06-25T16:20:00+09:00,2026-06-25T16:20:01+09:00,2026-06-25T16:20:02+09:00
APR-SYN-017,STR-SYN-017,TERM-SYN-017-OLD,transport_error,card_terminal,SYN-ID-01,단말기 식별 정보 확인 필요,2026-06-26T16:20:00+09:00,2026-06-26T16:20:01+09:00,2026-06-26T16:20:02+09:00
APR-SYN-018,STR-SYN-018,TERM-SYN-018,declined,card_terminal,SYN-MERCHANT-01,신용 승인 가맹점 번호 미등록,2026-06-20T17:20:00+09:00,2026-06-20T17:20:01+09:00,2026-06-20T17:20:02+09:00
APR-SYN-019,STR-SYN-019,TERM-SYN-019,declined,card_terminal,SYN-MERCHANT-01,신용 승인 가맹점 번호 미등록,2026-06-21T17:20:00+09:00,2026-06-21T17:20:01+09:00,2026-06-21T17:20:02+09:00
APR-SYN-020,STR-SYN-020,TERM-SYN-020,declined,card_terminal,SYN-MERCHANT-01,신용 승인 가맹점 번호 미등록,2026-06-22T17:20:00+09:00,2026-06-22T17:20:01+09:00,2026-06-22T17:20:02+09:00
APR-SYN-021,STR-SYN-021,TERM-SYN-021,declined,card_terminal,SYN-MERCHANT-01,신용 승인 가맹점 번호 미등록,2026-06-23T17:20:00+09:00,2026-06-23T17:20:01+09:00,2026-06-23T17:20:02+09:00
APR-SYN-022,STR-SYN-022,TERM-SYN-022,declined,card_terminal,SYN-MERCHANT-01,신용 승인 가맹점 번호 미등록,2026-06-24T17:20:00+09:00,2026-06-24T17:20:01+09:00,2026-06-24T17:20:02+09:00
APR-SYN-023,STR-SYN-023,TERM-SYN-023,declined,card_terminal,SYN-MERCHANT-01,신용 승인 가맹점 번호 미등록,2026-06-25T17:20:00+09:00,2026-06-25T17:20:01+09:00,2026-06-25T17:20:02+09:00
APR-SYN-024,STR-SYN-024,TERM-SYN-024,declined,card_terminal,SYN-MERCHANT-01,신용 승인 가맹점 번호 미등록,2026-06-26T17:20:00+09:00,2026-06-26T17:20:01+09:00,2026-06-26T17:20:02+09:00
APR-SYN-039-001,STR-SYN-039,TERM-SYN-039-OLD,transport_error,card_terminal,SYN-GENERIC-01,신용승인 처리 실패,2026-06-20T20:20:00+09:00,2026-06-20T20:20:01+09:00,2026-06-20T20:20:02+09:00
APR-SYN-039-002,STR-SYN-039,TERM-SYN-039-OLD,transport_error,card_terminal,SYN-GENERIC-01,신용승인 처리 실패,2026-06-20T20:25:00+09:00,2026-06-20T20:25:01+09:00,2026-06-20T20:25:02+09:00
APR-SYN-040-001,STR-SYN-040,TERM-SYN-040-OLD,transport_error,card_terminal,SYN-GENERIC-01,신용승인 처리 실패,2026-06-21T20:20:00+09:00,2026-06-21T20:20:01+09:00,2026-06-21T20:20:02+09:00
APR-SYN-040-002,STR-SYN-040,TERM-SYN-040-OLD,transport_error,card_terminal,SYN-GENERIC-01,신용승인 처리 실패,2026-06-21T20:25:00+09:00,2026-06-21T20:25:01+09:00,2026-06-21T20:25:02+09:00
APR-SYN-041-001,STR-SYN-041,TERM-SYN-041-OLD,transport_error,card_terminal,SYN-GENERIC-01,신용승인 처리 실패,2026-06-22T20:20:00+09:00,2026-06-22T20:20:01+09:00,2026-06-22T20:20:02+09:00
APR-SYN-041-002,STR-SYN-041,TERM-SYN-041-OLD,transport_error,card_terminal,SYN-GENERIC-01,신용승인 처리 실패,2026-06-22T20:25:00+09:00,2026-06-22T20:25:01+09:00,2026-06-22T20:25:02+09:00
APR-SYN-042-001,STR-SYN-042,TERM-SYN-042-OLD,transport_error,card_terminal,SYN-GENERIC-01,신용승인 처리 실패,2026-06-23T20:20:00+09:00,2026-06-23T20:20:01+09:00,2026-06-23T20:20:02+09:00
APR-SYN-042-002,STR-SYN-042,TERM-SYN-042-OLD,transport_error,card_terminal,SYN-GENERIC-01,신용승인 처리 실패,2026-06-23T20:25:00+09:00,2026-06-23T20:25:01+09:00,2026-06-23T20:25:02+09:00
APR-SYN-043-001,STR-SYN-043,TERM-SYN-043-OLD,transport_error,card_terminal,SYN-GENERIC-01,신용승인 처리 실패,2026-06-20T21:20:00+09:00,2026-06-20T21:20:01+09:00,2026-06-20T21:20:02+09:00
APR-SYN-043-002,STR-SYN-043,TERM-SYN-043-OLD,transport_error,card_terminal,SYN-GENERIC-01,신용승인 처리 실패,2026-06-20T21:25:00+09:00,2026-06-20T21:25:01+09:00,2026-06-20T21:25:02+09:00
APR-SYN-044-001,STR-SYN-044,TERM-SYN-044-OLD,transport_error,card_terminal,SYN-GENERIC-01,신용승인 처리 실패,2026-06-21T21:20:00+09:00,2026-06-21T21:20:01+09:00,2026-06-21T21:20:02+09:00
APR-SYN-044-002,STR-SYN-044,TERM-SYN-044-OLD,transport_error,card_terminal,SYN-GENERIC-01,신용승인 처리 실패,2026-06-21T21:25:00+09:00,2026-06-21T21:25:01+09:00,2026-06-21T21:25:02+09:00
APR-SYN-045-001,STR-SYN-045,TERM-SYN-045-OLD,transport_error,card_terminal,SYN-GENERIC-01,신용승인 처리 실패,2026-06-22T21:20:00+09:00,2026-06-22T21:20:01+09:00,2026-06-22T21:20:02+09:00
APR-SYN-045-002,STR-SYN-045,TERM-SYN-045-OLD,transport_error,card_terminal,SYN-GENERIC-01,신용승인 처리 실패,2026-06-22T21:25:00+09:00,2026-06-22T21:25:01+09:00,2026-06-22T21:25:02+09:00
APR-SYN-046,STR-SYN-046,TERM-SYN-046-OLD,transport_error,card_terminal,SYN-GENERIC-01,신용승인 처리 실패,2026-06-20T22:20:00+09:00,2026-06-20T22:20:01+09:00,2026-06-20T22:20:02+09:00
APR-SYN-047,STR-SYN-047,TERM-SYN-047-OLD,transport_error,card_terminal,SYN-GENERIC-01,신용승인 처리 실패,2026-06-21T22:20:00+09:00,2026-06-21T22:20:01+09:00,2026-06-21T22:20:02+09:00
APR-SYN-048,STR-SYN-048,TERM-SYN-048-OLD,transport_error,card_terminal,SYN-GENERIC-01,신용승인 처리 실패,2026-06-22T22:20:00+09:00,2026-06-22T22:20:01+09:00,2026-06-22T22:20:02+09:00
APR-SYN-049,STR-SYN-049,TERM-SYN-049-OLD,transport_error,card_terminal,SYN-GENERIC-01,신용승인 처리 실패,2026-06-23T22:20:00+09:00,2026-06-23T22:20:01+09:00,2026-06-23T22:20:02+09:00
APR-SYN-050,STR-SYN-050,TERM-SYN-050-OLD,transport_error,card_terminal,SYN-GENERIC-01,신용승인 처리 실패,2026-06-24T22:20:00+09:00,2026-06-24T22:20:01+09:00,2026-06-24T22:20:02+09:00
