terminal_id,store_id,terminal_role,device_number,physical_serial,lifecycle_status,installed_at,activated_at
TERM-SYN-009-OLD,STR-SYN-009,existing,DEV-TERM-SYN-009-OLD,SER-TERM-SYN-009-OLD,activated,2026-06-08T09:00:00+09:00,2026-06-08T09:30:00+09:00
TERM-SYN-009-NEW,STR-SYN-009,newly_installed,DEV-TERM-SYN-009-NEW,SER-TERM-SYN-009-NEW,activated,2026-06-28T14:00:00+09:00,2026-06-28T15:00:00+09:00
TERM-SYN-010-OLD,STR-SYN-010,existing,DEV-TERM-SYN-010-OLD,SER-TERM-SYN-010-OLD,activated,2026-06-09T09:00:00+09:00,2026-06-09T09:30:00+09:00
TERM-SYN-010-NEW,STR-SYN-010,newly_installed,DEV-TERM-SYN-010-NEW,SER-TERM-SYN-010-NEW,activated,2026-06-29T14:00:00+09:00,2026-06-29T15:00:00+09:00
TERM-SYN-011-OLD,STR-SYN-011,existing,DEV-TERM-SYN-011-OLD,SER-TERM-SYN-011-OLD,activated,2026-06-05T10:00:00+09:00,2026-06-05T10:30:00+09:00
TERM-SYN-011-NEW,STR-SYN-011,newly_installed,DEV-TERM-SYN-011-NEW,SER-TERM-SYN-011-NEW,activated,2026-06-20T14:00:00+09:00,2026-06-20T15:00:00+09:00
TERM-SYN-012-OLD,STR-SYN-012,existing,DEV-TERM-SYN-012-OLD,SER-TERM-SYN-012-OLD,activated,2026-06-06T10:00:00+09:00,2026-06-06T10:30:00+09:00
TERM-SYN-012-NEW,STR-SYN-012,newly_installed,DEV-TERM-SYN-012-NEW,SER-TERM-SYN-012-NEW,activated,2026-06-21T14:00:00+09:00,2026-06-21T15:00:00+09:00
TERM-SYN-013-OLD,STR-SYN-013,existing,DEV-TERM-SYN-013-OLD,SER-TERM-SYN-013-OLD,activated,2026-06-07T10:00:00+09:00,2026-06-07T10:30:00+09:00
TERM-SYN-013-NEW,STR-SYN-013,newly_installed,DEV-TERM-SYN-013-NEW,SER-TERM-SYN-013-NEW,activated,2026-06-22T14:00:00+09:00,2026-06-22T15:00:00+09:00
TERM-SYN-014-OLD,STR-SYN-014,existing,DEV-TERM-SYN-014-OLD,SER-TERM-SYN-014-OLD,activated,2026-06-08T10:00:00+09:00,2026-06-08T10:30:00+09:00
TERM-SYN-014-NEW,STR-SYN-014,newly_installed,DEV-TERM-SYN-014-NEW,SER-TERM-SYN-014-NEW,activated,2026-06-23T14:00:00+09:00,2026-06-23T15:00:00+09:00
TERM-SYN-015-OLD,STR-SYN-015,existing,DEV-TERM-SYN-015-OLD,SER-TERM-SYN-015-OLD,activated,2026-06-09T10:00:00+09:00,2026-06-09T10:30:00+09:00
TERM-SYN-015-NEW,STR-SYN-015,newly_installed,DEV-TERM-SYN-015-NEW,SER-TERM-SYN-015-NEW,activated,2026-06-24T14:00:00+09:00,2026-06-24T15:00:00+09:00
TERM-SYN-016-OLD,STR-SYN-016,existing,DEV-TERM-SYN-016-OLD,SER-TERM-SYN-016-OLD,activated,2026-06-10T10:00:00+09:00,2026-06-10T10:30:00+09:00
TERM-SYN-016-NEW,STR-SYN-016,newly_installed,DEV-TERM-SYN-016-NEW,SER-TERM-SYN-016-NEW,activated,2026-06-25T14:00:00+09:00,2026-06-25T15:00:00+09:00
TERM-SYN-017-OLD,STR-SYN-017,existing,DEV-TERM-SYN-017-OLD,SER-TERM-SYN-017-OLD,activated,2026-06-11T10:00:00+09:00,2026-06-11T10:30:00+09:00
TERM-SYN-017-NEW,STR-SYN-017,newly_installed,DEV-TERM-SYN-017-NEW,SER-TERM-SYN-017-NEW,activated,2026-06-26T14:00:00+09:00,2026-06-26T15:00:00+09:00
TERM-SYN-018,STR-SYN-018,newly_installed,DEV-TERM-SYN-018,SER-TERM-SYN-018,activated,2026-06-20T12:00:00+09:00,2026-06-20T12:30:00+09:00
TERM-SYN-019,STR-SYN-019,newly_installed,DEV-TERM-SYN-019,SER-TERM-SYN-019,activated,2026-06-21T12:00:00+09:00,2026-06-21T12:30:00+09:00
TERM-SYN-020,STR-SYN-020,newly_installed,DEV-TERM-SYN-020,SER-TERM-SYN-020,activated,2026-06-22T12:00:00+09:00,2026-06-22T12:30:00+09:00
TERM-SYN-021,STR-SYN-021,newly_installed,DEV-TERM-SYN-021,SER-TERM-SYN-021,activated,2026-06-23T12:00:00+09:00,2026-06-23T12:30:00+09:00
TERM-SYN-022,STR-SYN-022,newly_installed,DEV-TERM-SYN-022,SER-TERM-SYN-022,activated,2026-06-24T12:00:00+09:00,2026-06-24T12:30:00+09:00
TERM-SYN-023,STR-SYN-023,newly_installed,DEV-TERM-SYN-023,SER-TERM-SYN-023,activated,2026-06-25T12:00:00+09:00,2026-06-25T12:30:00+09:00
TERM-SYN-024,STR-SYN-024,newly_installed,DEV-TERM-SYN-024,SER-TERM-SYN-024,activated,2026-06-26T12:00:00+09:00,2026-06-26T12:30:00+09:00
TERM-SYN-025,STR-SYN-025,existing,DEV-TERM-SYN-025,SER-TERM-SYN-025,activated,2026-06-10T12:00:00+09:00,2026-06-10T12:30:00+09:00
TERM-SYN-026,STR-SYN-026,existing,DEV-TERM-SYN-026,SER-TERM-SYN-026,activated,2026-06-11T12:00:00+09:00,2026-06-11T12:30:00+09:00
TERM-SYN-027,STR-SYN-027,existing,DEV-TERM-SYN-027,SER-TERM-SYN-027,activated,2026-06-12T12:00:00+09:00,2026-06-12T12:30:00+09:00
TERM-SYN-028,STR-SYN-028,existing,DEV-TERM-SYN-028,SER-TERM-SYN-028,activated,2026-06-13T12:00:00+09:00,2026-06-13T12:30:00+09:00
TERM-SYN-029,STR-SYN-029,existing,DEV-TERM-SYN-029,SER-TERM-SYN-029,activated,2026-06-14T12:00:00+09:00,2026-06-14T12:30:00+09:00
TERM-SYN-030,STR-SYN-030,existing,DEV-TERM-SYN-030,SER-TERM-SYN-030,activated,2026-06-15T12:00:00+09:00,2026-06-15T12:30:00+09:00
TERM-SYN-031,STR-SYN-031,existing,DEV-TERM-SYN-031,SER-TERM-SYN-031,activated,2026-06-16T12:00:00+09:00,2026-06-16T12:30:00+09:00
TERM-SYN-032-OLD,STR-SYN-032,existing,DEV-TERM-SYN-032-OLD,SER-TERM-SYN-032-OLD,activated,2026-06-10T13:00:00+09:00,2026-06-10T13:30:00+09:00
TERM-SYN-032-NEW,STR-SYN-032,newly_installed,DEV-TERM-SYN-032-NEW,SER-TERM-SYN-032-NEW,activated,2026-06-20T18:00:00+09:00,2026-06-20T19:00:00+09:00
TERM-SYN-033-OLD,STR-SYN-033,existing,DEV-TERM-SYN-033-OLD,SER-TERM-SYN-033-OLD,activated,2026-06-11T13:00:00+09:00,2026-06-11T13:30:00+09:00
TERM-SYN-033-NEW,STR-SYN-033,newly_installed,DEV-TERM-SYN-033-NEW,SER-TERM-SYN-033-NEW,activated,2026-06-21T18:00:00+09:00,2026-06-21T19:00:00+09:00
TERM-SYN-034-OLD,STR-SYN-034,existing,DEV-TERM-SYN-034-OLD,SER-TERM-SYN-034-OLD,activated,2026-06-12T13:00:00+09:00,2026-06-12T13:30:00+09:00
TERM-SYN-034-NEW,STR-SYN-034,newly_installed,DEV-TERM-SYN-034-NEW,SER-TERM-SYN-034-NEW,activated,2026-06-22T18:00:00+09:00,2026-06-22T19:00:00+09:00
TERM-SYN-035-OLD,STR-SYN-035,existing,DEV-TERM-SYN-035-OLD,SER-TERM-SYN-035-OLD,activated,2026-06-13T13:00:00+09:00,2026-06-13T13:30:00+09:00
TERM-SYN-035-NEW,STR-SYN-035,newly_installed,DEV-TERM-SYN-035-NEW,SER-TERM-SYN-035-NEW,activated,2026-06-23T18:00:00+09:00,2026-06-23T19:00:00+09:00
TERM-SYN-036-OLD,STR-SYN-036,existing,DEV-TERM-SYN-036-OLD,SER-TERM-SYN-036-OLD,activated,2026-06-14T13:00:00+09:00,2026-06-14T13:30:00+09:00
TERM-SYN-036-NEW,STR-SYN-036,newly_installed,DEV-TERM-SYN-036-NEW,SER-TERM-SYN-036-NEW,activated,2026-06-24T18:00:00+09:00,2026-06-24T19:00:00+09:00
TERM-SYN-037-OLD,STR-SYN-037,existing,DEV-TERM-SYN-037-OLD,SER-TERM-SYN-037-OLD,activated,2026-06-15T13:00:00+09:00,2026-06-15T13:30:00+09:00
TERM-SYN-037-NEW,STR-SYN-037,newly_installed,DEV-TERM-SYN-037-NEW,SER-TERM-SYN-037-NEW,activated,2026-06-25T18:00:00+09:00,2026-06-25T19:00:00+09:00
TERM-SYN-038-OLD,STR-SYN-038,existing,DEV-TERM-SYN-038-OLD,SER-TERM-SYN-038-OLD,activated,2026-06-16T13:00:00+09:00,2026-06-16T13:30:00+09:00
TERM-SYN-038-NEW,STR-SYN-038,newly_installed,DEV-TERM-SYN-038-NEW,SER-TERM-SYN-038-NEW,activated,2026-06-26T18:00:00+09:00,2026-06-26T19:00:00+09:00
TERM-SYN-039-OLD,STR-SYN-039,existing,DEV-TERM-SYN-039-OLD,SER-TERM-SYN-039-OLD,activated,2026-05-31T14:00:00+09:00,2026-05-31T14:30:00+09:00
TERM-SYN-039-NEW,STR-SYN-039,newly_installed,DEV-TERM-SYN-039-NEW,SER-TERM-SYN-039-NEW,activated,2026-06-20T19:00:00+09:00,2026-06-20T20:00:00+09:00
TERM-SYN-040-OLD,STR-SYN-040,existing,DEV-TERM-SYN-040-OLD,SER-TERM-SYN-040-OLD,activated,2026-06-01T14:00:00+09:00,2026-06-01T14:30:00+09:00
TERM-SYN-040-NEW,STR-SYN-040,newly_installed,DEV-TERM-SYN-040-NEW,SER-TERM-SYN-040-NEW,activated,2026-06-21T19:00:00+09:00,2026-06-21T20:00:00+09:00
TERM-SYN-041-OLD,STR-SYN-041,existing,DEV-TERM-SYN-041-OLD,SER-TERM-SYN-041-OLD,activated,2026-06-02T14:00:00+09:00,2026-06-02T14:30:00+09:00
TERM-SYN-041-NEW,STR-SYN-041,newly_installed,DEV-TERM-SYN-041-NEW,SER-TERM-SYN-041-NEW,activated,2026-06-22T19:00:00+09:00,2026-06-22T20:00:00+09:00
TERM-SYN-042-OLD,STR-SYN-042,existing,DEV-TERM-SYN-042-OLD,SER-TERM-SYN-042-OLD,activated,2026-06-03T14:00:00+09:00,2026-06-03T14:30:00+09:00
TERM-SYN-042-NEW,STR-SYN-042,newly_installed,DEV-TERM-SYN-042-NEW,SER-TERM-SYN-042-NEW,activated,2026-06-23T19:00:00+09:00,2026-06-23T20:00:00+09:00
TERM-SYN-043-OLD,STR-SYN-043,existing,DEV-TERM-SYN-043-OLD,SER-TERM-SYN-043-OLD,activated,2026-05-31T15:00:00+09:00,2026-05-31T15:30:00+09:00
TERM-SYN-043-NEW,STR-SYN-043,newly_installed,DEV-TERM-SYN-043-NEW,SER-TERM-SYN-043-NEW,activated,2026-06-20T20:00:00+09:00,2026-06-20T21:00:00+09:00
TERM-SYN-044-OLD,STR-SYN-044,existing,DEV-TERM-SYN-044-OLD,SER-TERM-SYN-044-OLD,activated,2026-06-01T15:00:00+09:00,2026-06-01T15:30:00+09:00
TERM-SYN-044-NEW,STR-SYN-044,newly_installed,DEV-TERM-SYN-044-NEW,SER-TERM-SYN-044-NEW,activated,2026-06-21T20:00:00+09:00,2026-06-21T21:00:00+09:00
TERM-SYN-045-OLD,STR-SYN-045,existing,DEV-TERM-SYN-045-OLD,SER-TERM-SYN-045-OLD,activated,2026-06-02T15:00:00+09:00,2026-06-02T15:30:00+09:00
TERM-SYN-045-NEW,STR-SYN-045,newly_installed,DEV-TERM-SYN-045-NEW,SER-TERM-SYN-045-NEW,activated,2026-06-22T20:00:00+09:00,2026-06-22T21:00:00+09:00
TERM-SYN-046-OLD,STR-SYN-046,existing,DEV-TERM-SYN-046-OLD,SER-TERM-SYN-046-OLD,activated,2026-06-05T16:00:00+09:00,2026-06-05T16:30:00+09:00
TERM-SYN-046-NEW,STR-SYN-046,newly_installed,DEV-TERM-SYN-046-NEW,SER-TERM-SYN-046-NEW,activated,2026-06-20T21:00:00+09:00,2026-06-20T22:00:00+09:00
TERM-SYN-047-OLD,STR-SYN-047,existing,DEV-TERM-SYN-047-OLD,SER-TERM-SYN-047-OLD,activated,2026-06-06T16:00:00+09:00,2026-06-06T16:30:00+09:00
TERM-SYN-047-NEW,STR-SYN-047,newly_installed,DEV-TERM-SYN-047-NEW,SER-TERM-SYN-047-NEW,activated,2026-06-21T21:00:00+09:00,2026-06-21T22:00:00+09:00
TERM-SYN-048-OLD,STR-SYN-048,existing,DEV-TERM-SYN-048-OLD,SER-TERM-SYN-048-OLD,activated,2026-06-07T16:00:00+09:00,2026-06-07T16:30:00+09:00
TERM-SYN-048-NEW,STR-SYN-048,newly_installed,DEV-TERM-SYN-048-NEW,SER-TERM-SYN-048-NEW,activated,2026-06-22T21:00:00+09:00,2026-06-22T22:00:00+09:00
TERM-SYN-049-OLD,STR-SYN-049,existing,DEV-TERM-SYN-049-OLD,SER-TERM-SYN-049-OLD,activated,2026-06-08T16:00:00+09:00,2026-06-08T16:30:00+09:00
TERM-SYN-049-NEW,STR-SYN-049,newly_installed,DEV-TERM-SYN-049-NEW,SER-TERM-SYN-049-NEW,activated,2026-06-23T21:00:00+09:00,2026-06-23T22:00:00+09:00
TERM-SYN-050-OLD,STR-SYN-050,existing,DEV-TERM-SYN-050-OLD,SER-TERM-SYN-050-OLD,activated,2026-06-09T16:00:00+09:00,2026-06-09T16:30:00+09:00
TERM-SYN-050-NEW,STR-SYN-050,newly_installed,DEV-TERM-SYN-050-NEW,SER-TERM-SYN-050-NEW,activated,2026-06-24T21:00:00+09:00,2026-06-24T22:00:00+09:00
