identity_record_id,store_id,terminal_id,registered_device_number,registered_serial,valid_from,valid_to,record_status,observed_at,recorded_at,available_at
IDENT-TERM-SYN-011-NEW,STR-SYN-011,TERM-SYN-011-NEW,DEV-TERM-SYN-011-NEW,SER-TERM-SYN-011-NEW,2026-06-20T14:00:00+09:00,,active,2026-06-20T15:00:00+09:00,2026-06-20T15:00:01+09:00,2026-06-20T15:00:02+09:00
IDENT-TERM-SYN-011-OLD-MISMATCH,STR-SYN-011,TERM-SYN-011-OLD,DEV-REGISTERED-SYN-011,SER-REGISTERED-SYN-011,2026-06-05T10:00:00+09:00,,active,2026-06-20T15:00:00+09:00,2026-06-20T15:00:01+09:00,2026-06-20T15:00:02+09:00
IDENT-TERM-SYN-012-NEW,STR-SYN-012,TERM-SYN-012-NEW,DEV-TERM-SYN-012-NEW,SER-TERM-SYN-012-NEW,2026-06-21T14:00:00+09:00,,active,2026-06-21T15:00:00+09:00,2026-06-21T15:00:01+09:00,2026-06-21T15:00:02+09:00
IDENT-TERM-SYN-012-OLD-MISMATCH,STR-SYN-012,TERM-SYN-012-OLD,DEV-REGISTERED-SYN-012,SER-REGISTERED-SYN-012,2026-06-06T10:00:00+09:00,,active,2026-06-21T15:00:00+09:00,2026-06-21T15:00:01+09:00,2026-06-21T15:00:02+09:00
IDENT-TERM-SYN-013-NEW,STR-SYN-013,TERM-SYN-013-NEW,DEV-TERM-SYN-013-NEW,SER-TERM-SYN-013-NEW,2026-06-22T14:00:00+09:00,,active,2026-06-22T15:00:00+09:00,2026-06-22T15:00:01+09:00,2026-06-22T15:00:02+09:00
IDENT-TERM-SYN-013-OLD-MISMATCH,STR-SYN-013,TERM-SYN-013-OLD,DEV-REGISTERED-SYN-013,SER-REGISTERED-SYN-013,2026-06-07T10:00:00+09:00,,active,2026-06-22T15:00:00+09:00,2026-06-22T15:00:01+09:00,2026-06-22T15:00:02+09:00
IDENT-TERM-SYN-014-NEW,STR-SYN-014,TERM-SYN-014-NEW,DEV-TERM-SYN-014-NEW,SER-TERM-SYN-014-NEW,2026-06-23T14:00:00+09:00,,active,2026-06-23T15:00:00+09:00,2026-06-23T15:00:01+09:00,2026-06-23T15:00:02+09:00
IDENT-TERM-SYN-014-OLD-MISMATCH,STR-SYN-014,TERM-SYN-014-OLD,DEV-REGISTERED-SYN-014,SER-REGISTERED-SYN-014,2026-06-08T10:00:00+09:00,,active,2026-06-23T15:00:00+09:00,2026-06-23T15:00:01+09:00,2026-06-23T15:00:02+09:00
IDENT-TERM-SYN-015-NEW,STR-SYN-015,TERM-SYN-015-NEW,DEV-TERM-SYN-015-NEW,SER-TERM-SYN-015-NEW,2026-06-24T14:00:00+09:00,,active,2026-06-24T15:00:00+09:00,2026-06-24T15:00:01+09:00,2026-06-24T15:00:02+09:00
IDENT-TERM-SYN-015-OLD-MISMATCH,STR-SYN-015,TERM-SYN-015-OLD,DEV-REGISTERED-SYN-015,SER-REGISTERED-SYN-015,2026-06-09T10:00:00+09:00,,active,2026-06-24T15:00:00+09:00,2026-06-24T15:00:01+09:00,2026-06-24T15:00:02+09:00
IDENT-TERM-SYN-016-NEW,STR-SYN-016,TERM-SYN-016-NEW,DEV-TERM-SYN-016-NEW,SER-TERM-SYN-016-NEW,2026-06-25T14:00:00+09:00,,active,2026-06-25T15:00:00+09:00,2026-06-25T15:00:01+09:00,2026-06-25T15:00:02+09:00
IDENT-TERM-SYN-016-OLD-MISMATCH,STR-SYN-016,TERM-SYN-016-OLD,DEV-REGISTERED-SYN-016,SER-REGISTERED-SYN-016,2026-06-10T10:00:00+09:00,,active,2026-06-25T15:00:00+09:00,2026-06-25T15:00:01+09:00,2026-06-25T15:00:02+09:00
IDENT-TERM-SYN-017-NEW,STR-SYN-017,TERM-SYN-017-NEW,DEV-TERM-SYN-017-NEW,SER-TERM-SYN-017-NEW,2026-06-26T14:00:00+09:00,,active,2026-06-26T15:00:00+09:00,2026-06-26T15:00:01+09:00,2026-06-26T15:00:02+09:00
IDENT-TERM-SYN-017-OLD-MISMATCH,STR-SYN-017,TERM-SYN-017-OLD,DEV-REGISTERED-SYN-017,SER-REGISTERED-SYN-017,2026-06-11T10:00:00+09:00,,active,2026-06-26T15:00:00+09:00,2026-06-26T15:00:01+09:00,2026-06-26T15:00:02+09:00
IDENT-TERM-SYN-018,STR-SYN-018,TERM-SYN-018,DEV-TERM-SYN-018,SER-TERM-SYN-018,2026-06-20T12:00:00+09:00,,active,2026-06-20T12:30:00+09:00,2026-06-20T12:30:01+09:00,2026-06-20T12:30:02+09:00
IDENT-TERM-SYN-019,STR-SYN-019,TERM-SYN-019,DEV-TERM-SYN-019,SER-TERM-SYN-019,2026-06-21T12:00:00+09:00,,active,2026-06-21T12:30:00+09:00,2026-06-21T12:30:01+09:00,2026-06-21T12:30:02+09:00
IDENT-TERM-SYN-020,STR-SYN-020,TERM-SYN-020,DEV-TERM-SYN-020,SER-TERM-SYN-020,2026-06-22T12:00:00+09:00,,active,2026-06-22T12:30:00+09:00,2026-06-22T12:30:01+09:00,2026-06-22T12:30:02+09:00
IDENT-TERM-SYN-021,STR-SYN-021,TERM-SYN-021,DEV-TERM-SYN-021,SER-TERM-SYN-021,2026-06-23T12:00:00+09:00,,active,2026-06-23T12:30:00+09:00,2026-06-23T12:30:01+09:00,2026-06-23T12:30:02+09:00
IDENT-TERM-SYN-022,STR-SYN-022,TERM-SYN-022,DEV-TERM-SYN-022,SER-TERM-SYN-022,2026-06-24T12:00:00+09:00,,active,2026-06-24T12:30:00+09:00,2026-06-24T12:30:01+09:00,2026-06-24T12:30:02+09:00
IDENT-TERM-SYN-023,STR-SYN-023,TERM-SYN-023,DEV-TERM-SYN-023,SER-TERM-SYN-023,2026-06-25T12:00:00+09:00,,active,2026-06-25T12:30:00+09:00,2026-06-25T12:30:01+09:00,2026-06-25T12:30:02+09:00
IDENT-TERM-SYN-024,STR-SYN-024,TERM-SYN-024,DEV-TERM-SYN-024,SER-TERM-SYN-024,2026-06-26T12:00:00+09:00,,active,2026-06-26T12:30:00+09:00,2026-06-26T12:30:01+09:00,2026-06-26T12:30:02+09:00
IDENT-TERM-SYN-025,STR-SYN-025,TERM-SYN-025,DEV-TERM-SYN-025,SER-TERM-SYN-025,2026-06-10T12:00:00+09:00,,active,2026-06-10T12:30:00+09:00,2026-06-10T12:30:01+09:00,2026-06-10T12:30:02+09:00
IDENT-TERM-SYN-026,STR-SYN-026,TERM-SYN-026,DEV-TERM-SYN-026,SER-TERM-SYN-026,2026-06-11T12:00:00+09:00,,active,2026-06-11T12:30:00+09:00,2026-06-11T12:30:01+09:00,2026-06-11T12:30:02+09:00
IDENT-TERM-SYN-027,STR-SYN-027,TERM-SYN-027,DEV-TERM-SYN-027,SER-TERM-SYN-027,2026-06-12T12:00:00+09:00,,active,2026-06-12T12:30:00+09:00,2026-06-12T12:30:01+09:00,2026-06-12T12:30:02+09:00
IDENT-TERM-SYN-028,STR-SYN-028,TERM-SYN-028,DEV-TERM-SYN-028,SER-TERM-SYN-028,2026-06-13T12:00:00+09:00,,active,2026-06-13T12:30:00+09:00,2026-06-13T12:30:01+09:00,2026-06-13T12:30:02+09:00
IDENT-TERM-SYN-029,STR-SYN-029,TERM-SYN-029,DEV-TERM-SYN-029,SER-TERM-SYN-029,2026-06-14T12:00:00+09:00,,active,2026-06-14T12:30:00+09:00,2026-06-14T12:30:01+09:00,2026-06-14T12:30:02+09:00
IDENT-TERM-SYN-030,STR-SYN-030,TERM-SYN-030,DEV-TERM-SYN-030,SER-TERM-SYN-030,2026-06-15T12:00:00+09:00,,active,2026-06-15T12:30:00+09:00,2026-06-15T12:30:01+09:00,2026-06-15T12:30:02+09:00
IDENT-TERM-SYN-031,STR-SYN-031,TERM-SYN-031,DEV-TERM-SYN-031,SER-TERM-SYN-031,2026-06-16T12:00:00+09:00,,active,2026-06-16T12:30:00+09:00,2026-06-16T12:30:01+09:00,2026-06-16T12:30:02+09:00
IDENT-TERM-SYN-032-OLD,STR-SYN-032,TERM-SYN-032-OLD,DEV-TERM-SYN-032-OLD,SER-TERM-SYN-032-OLD,2026-06-10T13:00:00+09:00,,active,2026-06-10T13:30:00+09:00,2026-06-10T13:30:01+09:00,2026-06-10T13:30:02+09:00
IDENT-TERM-SYN-032-NEW,STR-SYN-032,TERM-SYN-032-NEW,DEV-TERM-SYN-032-NEW,SER-TERM-SYN-032-NEW,2026-06-20T18:00:00+09:00,,active,2026-06-20T19:00:00+09:00,2026-06-20T19:00:01+09:00,2026-06-20T19:00:02+09:00
IDENT-TERM-SYN-033-OLD,STR-SYN-033,TERM-SYN-033-OLD,DEV-TERM-SYN-033-OLD,SER-TERM-SYN-033-OLD,2026-06-11T13:00:00+09:00,,active,2026-06-11T13:30:00+09:00,2026-06-11T13:30:01+09:00,2026-06-11T13:30:02+09:00
IDENT-TERM-SYN-033-NEW,STR-SYN-033,TERM-SYN-033-NEW,DEV-TERM-SYN-033-NEW,SER-TERM-SYN-033-NEW,2026-06-21T18:00:00+09:00,,active,2026-06-21T19:00:00+09:00,2026-06-21T19:00:01+09:00,2026-06-21T19:00:02+09:00
IDENT-TERM-SYN-034-OLD,STR-SYN-034,TERM-SYN-034-OLD,DEV-TERM-SYN-034-OLD,SER-TERM-SYN-034-OLD,2026-06-12T13:00:00+09:00,,active,2026-06-12T13:30:00+09:00,2026-06-12T13:30:01+09:00,2026-06-12T13:30:02+09:00
IDENT-TERM-SYN-034-NEW,STR-SYN-034,TERM-SYN-034-NEW,DEV-TERM-SYN-034-NEW,SER-TERM-SYN-034-NEW,2026-06-22T18:00:00+09:00,,active,2026-06-22T19:00:00+09:00,2026-06-22T19:00:01+09:00,2026-06-22T19:00:02+09:00
IDENT-TERM-SYN-035-OLD,STR-SYN-035,TERM-SYN-035-OLD,DEV-TERM-SYN-035-OLD,SER-TERM-SYN-035-OLD,2026-06-13T13:00:00+09:00,,active,2026-06-13T13:30:00+09:00,2026-06-13T13:30:01+09:00,2026-06-13T13:30:02+09:00
IDENT-TERM-SYN-035-NEW,STR-SYN-035,TERM-SYN-035-NEW,DEV-TERM-SYN-035-NEW,SER-TERM-SYN-035-NEW,2026-06-23T18:00:00+09:00,,active,2026-06-23T19:00:00+09:00,2026-06-23T19:00:01+09:00,2026-06-23T19:00:02+09:00
IDENT-TERM-SYN-036-OLD,STR-SYN-036,TERM-SYN-036-OLD,DEV-TERM-SYN-036-OLD,SER-TERM-SYN-036-OLD,2026-06-14T13:00:00+09:00,,active,2026-06-14T13:30:00+09:00,2026-06-14T13:30:01+09:00,2026-06-14T13:30:02+09:00
IDENT-TERM-SYN-036-NEW,STR-SYN-036,TERM-SYN-036-NEW,DEV-TERM-SYN-036-NEW,SER-TERM-SYN-036-NEW,2026-06-24T18:00:00+09:00,,active,2026-06-24T19:00:00+09:00,2026-06-24T19:00:01+09:00,2026-06-24T19:00:02+09:00
IDENT-TERM-SYN-037-OLD,STR-SYN-037,TERM-SYN-037-OLD,DEV-TERM-SYN-037-OLD,SER-TERM-SYN-037-OLD,2026-06-15T13:00:00+09:00,,active,2026-06-15T13:30:00+09:00,2026-06-15T13:30:01+09:00,2026-06-15T13:30:02+09:00
IDENT-TERM-SYN-037-NEW,STR-SYN-037,TERM-SYN-037-NEW,DEV-TERM-SYN-037-NEW,SER-TERM-SYN-037-NEW,2026-06-25T18:00:00+09:00,,active,2026-06-25T19:00:00+09:00,2026-06-25T19:00:01+09:00,2026-06-25T19:00:02+09:00
IDENT-TERM-SYN-038-OLD,STR-SYN-038,TERM-SYN-038-OLD,DEV-TERM-SYN-038-OLD,SER-TERM-SYN-038-OLD,2026-06-16T13:00:00+09:00,,active,2026-06-16T13:30:00+09:00,2026-06-16T13:30:01+09:00,2026-06-16T13:30:02+09:00
IDENT-TERM-SYN-038-NEW,STR-SYN-038,TERM-SYN-038-NEW,DEV-TERM-SYN-038-NEW,SER-TERM-SYN-038-NEW,2026-06-26T18:00:00+09:00,,active,2026-06-26T19:00:00+09:00,2026-06-26T19:00:01+09:00,2026-06-26T19:00:02+09:00
IDENT-TERM-SYN-039-OLD,STR-SYN-039,TERM-SYN-039-OLD,DEV-TERM-SYN-039-OLD,SER-TERM-SYN-039-OLD,2026-05-31T14:00:00+09:00,,active,2026-05-31T14:30:00+09:00,2026-05-31T14:30:01+09:00,2026-05-31T14:30:02+09:00
IDENT-TERM-SYN-039-NEW,STR-SYN-039,TERM-SYN-039-NEW,DEV-TERM-SYN-039-NEW,SER-TERM-SYN-039-NEW,2026-06-20T19:00:00+09:00,,active,2026-06-20T20:00:00+09:00,2026-06-20T20:00:01+09:00,2026-06-20T20:00:02+09:00
IDENT-TERM-SYN-040-OLD,STR-SYN-040,TERM-SYN-040-OLD,DEV-TERM-SYN-040-OLD,SER-TERM-SYN-040-OLD,2026-06-01T14:00:00+09:00,,active,2026-06-01T14:30:00+09:00,2026-06-01T14:30:01+09:00,2026-06-01T14:30:02+09:00
IDENT-TERM-SYN-040-NEW,STR-SYN-040,TERM-SYN-040-NEW,DEV-TERM-SYN-040-NEW,SER-TERM-SYN-040-NEW,2026-06-21T19:00:00+09:00,,active,2026-06-21T20:00:00+09:00,2026-06-21T20:00:01+09:00,2026-06-21T20:00:02+09:00
IDENT-TERM-SYN-041-OLD,STR-SYN-041,TERM-SYN-041-OLD,DEV-TERM-SYN-041-OLD,SER-TERM-SYN-041-OLD,2026-06-02T14:00:00+09:00,,active,2026-06-02T14:30:00+09:00,2026-06-02T14:30:01+09:00,2026-06-02T14:30:02+09:00
IDENT-TERM-SYN-041-NEW,STR-SYN-041,TERM-SYN-041-NEW,DEV-TERM-SYN-041-NEW,SER-TERM-SYN-041-NEW,2026-06-22T19:00:00+09:00,,active,2026-06-22T20:00:00+09:00,2026-06-22T20:00:01+09:00,2026-06-22T20:00:02+09:00
IDENT-TERM-SYN-042-OLD,STR-SYN-042,TERM-SYN-042-OLD,DEV-TERM-SYN-042-OLD,SER-TERM-SYN-042-OLD,2026-06-03T14:00:00+09:00,,active,2026-06-03T14:30:00+09:00,2026-06-03T14:30:01+09:00,2026-06-03T14:30:02+09:00
IDENT-TERM-SYN-042-NEW,STR-SYN-042,TERM-SYN-042-NEW,DEV-TERM-SYN-042-NEW,SER-TERM-SYN-042-NEW,2026-06-23T19:00:00+09:00,,active,2026-06-23T20:00:00+09:00,2026-06-23T20:00:01+09:00,2026-06-23T20:00:02+09:00
IDENT-TERM-SYN-043-OLD,STR-SYN-043,TERM-SYN-043-OLD,DEV-TERM-SYN-043-OLD,SER-TERM-SYN-043-OLD,2026-05-31T15:00:00+09:00,,active,2026-05-31T15:30:00+09:00,2026-05-31T15:30:01+09:00,2026-05-31T15:30:02+09:00
IDENT-TERM-SYN-043-NEW,STR-SYN-043,TERM-SYN-043-NEW,DEV-TERM-SYN-043-NEW,SER-TERM-SYN-043-NEW,2026-06-20T20:00:00+09:00,,active,2026-06-20T21:00:00+09:00,2026-06-20T21:00:01+09:00,2026-06-20T21:00:02+09:00
IDENT-TERM-SYN-044-OLD,STR-SYN-044,TERM-SYN-044-OLD,DEV-TERM-SYN-044-OLD,SER-TERM-SYN-044-OLD,2026-06-01T15:00:00+09:00,,active,2026-06-01T15:30:00+09:00,2026-06-01T15:30:01+09:00,2026-06-01T15:30:02+09:00
IDENT-TERM-SYN-044-NEW,STR-SYN-044,TERM-SYN-044-NEW,DEV-TERM-SYN-044-NEW,SER-TERM-SYN-044-NEW,2026-06-21T20:00:00+09:00,,active,2026-06-21T21:00:00+09:00,2026-06-21T21:00:01+09:00,2026-06-21T21:00:02+09:00
IDENT-TERM-SYN-045-OLD,STR-SYN-045,TERM-SYN-045-OLD,DEV-TERM-SYN-045-OLD,SER-TERM-SYN-045-OLD,2026-06-02T15:00:00+09:00,,active,2026-06-02T15:30:00+09:00,2026-06-02T15:30:01+09:00,2026-06-02T15:30:02+09:00
IDENT-TERM-SYN-045-NEW,STR-SYN-045,TERM-SYN-045-NEW,DEV-TERM-SYN-045-NEW,SER-TERM-SYN-045-NEW,2026-06-22T20:00:00+09:00,,active,2026-06-22T21:00:00+09:00,2026-06-22T21:00:01+09:00,2026-06-22T21:00:02+09:00
IDENT-TERM-SYN-046-OLD,STR-SYN-046,TERM-SYN-046-OLD,DEV-TERM-SYN-046-OLD,SER-TERM-SYN-046-OLD,2026-06-05T16:00:00+09:00,,active,2026-06-05T16:30:00+09:00,2026-06-05T16:30:01+09:00,2026-06-05T16:30:02+09:00
IDENT-TERM-SYN-046-NEW,STR-SYN-046,TERM-SYN-046-NEW,DEV-TERM-SYN-046-NEW,SER-TERM-SYN-046-NEW,2026-06-20T21:00:00+09:00,,active,2026-06-20T22:00:00+09:00,2026-06-20T22:00:01+09:00,2026-06-20T22:00:02+09:00
IDENT-TERM-SYN-047-OLD,STR-SYN-047,TERM-SYN-047-OLD,DEV-TERM-SYN-047-OLD,SER-TERM-SYN-047-OLD,2026-06-06T16:00:00+09:00,,active,2026-06-06T16:30:00+09:00,2026-06-06T16:30:01+09:00,2026-06-06T16:30:02+09:00
IDENT-TERM-SYN-047-NEW,STR-SYN-047,TERM-SYN-047-NEW,DEV-TERM-SYN-047-NEW,SER-TERM-SYN-047-NEW,2026-06-21T21:00:00+09:00,,active,2026-06-21T22:00:00+09:00,2026-06-21T22:00:01+09:00,2026-06-21T22:00:02+09:00
IDENT-TERM-SYN-048-OLD,STR-SYN-048,TERM-SYN-048-OLD,DEV-TERM-SYN-048-OLD,SER-TERM-SYN-048-OLD,2026-06-07T16:00:00+09:00,,active,2026-06-07T16:30:00+09:00,2026-06-07T16:30:01+09:00,2026-06-07T16:30:02+09:00
IDENT-TERM-SYN-048-NEW,STR-SYN-048,TERM-SYN-048-NEW,DEV-TERM-SYN-048-NEW,SER-TERM-SYN-048-NEW,2026-06-22T21:00:00+09:00,,active,2026-06-22T22:00:00+09:00,2026-06-22T22:00:01+09:00,2026-06-22T22:00:02+09:00
IDENT-TERM-SYN-049-OLD,STR-SYN-049,TERM-SYN-049-OLD,DEV-TERM-SYN-049-OLD,SER-TERM-SYN-049-OLD,2026-06-08T16:00:00+09:00,,active,2026-06-08T16:30:00+09:00,2026-06-08T16:30:01+09:00,2026-06-08T16:30:02+09:00
IDENT-TERM-SYN-049-NEW,STR-SYN-049,TERM-SYN-049-NEW,DEV-TERM-SYN-049-NEW,SER-TERM-SYN-049-NEW,2026-06-23T21:00:00+09:00,,active,2026-06-23T22:00:00+09:00,2026-06-23T22:00:01+09:00,2026-06-23T22:00:02+09:00
IDENT-TERM-SYN-050-OLD,STR-SYN-050,TERM-SYN-050-OLD,DEV-TERM-SYN-050-OLD,SER-TERM-SYN-050-OLD,2026-06-09T16:00:00+09:00,,active,2026-06-09T16:30:00+09:00,2026-06-09T16:30:01+09:00,2026-06-09T16:30:02+09:00
IDENT-TERM-SYN-050-NEW,STR-SYN-050,TERM-SYN-050-NEW,DEV-TERM-SYN-050-NEW,SER-TERM-SYN-050-NEW,2026-06-24T21:00:00+09:00,,active,2026-06-24T22:00:00+09:00,2026-06-24T22:00:01+09:00,2026-06-24T22:00:02+09:00
