tid_assignment_id,store_id,terminal_id,tid,valid_from,valid_to,assignment_status,observed_at,recorded_at,available_at
TIDA-SYN-006-OLD,STR-SYN-006,TERM-SYN-006-OLD,TID-101006,2026-06-05T09:30:00+09:00,,active,2026-06-05T09:30:00+09:00,2026-06-05T09:30:01+09:00,2026-06-05T09:30:02+09:00
TIDA-SYN-006-NEW,STR-SYN-006,TERM-SYN-006-NEW,TID-101006,2026-06-25T15:00:00+09:00,,active,2026-06-25T15:00:00+09:00,2026-06-25T15:00:01+09:00,2026-06-25T15:00:02+09:00
TIDA-SYN-007-OLD,STR-SYN-007,TERM-SYN-007-OLD,TID-101007,2026-06-06T09:30:00+09:00,,active,2026-06-06T09:30:00+09:00,2026-06-06T09:30:01+09:00,2026-06-06T09:30:02+09:00
TIDA-SYN-007-NEW,STR-SYN-007,TERM-SYN-007-NEW,TID-101007,2026-06-26T15:00:00+09:00,,active,2026-06-26T15:00:00+09:00,2026-06-26T15:00:01+09:00,2026-06-26T15:00:02+09:00
TIDA-SYN-008-OLD,STR-SYN-008,TERM-SYN-008-OLD,TID-101008,2026-06-07T09:30:00+09:00,,active,2026-06-07T09:30:00+09:00,2026-06-07T09:30:01+09:00,2026-06-07T09:30:02+09:00
TIDA-SYN-008-NEW,STR-SYN-008,TERM-SYN-008-NEW,TID-101008,2026-06-27T15:00:00+09:00,,active,2026-06-27T15:00:00+09:00,2026-06-27T15:00:01+09:00,2026-06-27T15:00:02+09:00
TIDA-SYN-009-OLD,STR-SYN-009,TERM-SYN-009-OLD,TID-101009,2026-06-08T09:30:00+09:00,,active,2026-06-08T09:30:00+09:00,2026-06-08T09:30:01+09:00,2026-06-08T09:30:02+09:00
TIDA-SYN-009-NEW,STR-SYN-009,TERM-SYN-009-NEW,TID-101009,2026-06-28T15:00:00+09:00,,active,2026-06-28T15:00:00+09:00,2026-06-28T15:00:01+09:00,2026-06-28T15:00:02+09:00
TIDA-SYN-010-OLD,STR-SYN-010,TERM-SYN-010-OLD,TID-101010,2026-06-09T09:30:00+09:00,,active,2026-06-09T09:30:00+09:00,2026-06-09T09:30:01+09:00,2026-06-09T09:30:02+09:00
TIDA-SYN-010-NEW,STR-SYN-010,TERM-SYN-010-NEW,TID-101010,2026-06-29T15:00:00+09:00,,active,2026-06-29T15:00:00+09:00,2026-06-29T15:00:01+09:00,2026-06-29T15:00:02+09:00
TIDA-SYN-011-OLD,STR-SYN-011,TERM-SYN-011-OLD,TID-200001,2026-06-05T10:30:00+09:00,,active,2026-06-05T10:30:00+09:00,2026-06-05T10:30:01+09:00,2026-06-05T10:30:02+09:00
TIDA-SYN-011-NEW,STR-SYN-011,TERM-SYN-011-NEW,TID-210001,2026-06-20T15:00:00+09:00,,active,2026-06-20T15:00:00+09:00,2026-06-20T15:00:01+09:00,2026-06-20T15:00:02+09:00
TIDA-SYN-012-OLD,STR-SYN-012,TERM-SYN-012-OLD,TID-200002,2026-06-06T10:30:00+09:00,,active,2026-06-06T10:30:00+09:00,2026-06-06T10:30:01+09:00,2026-06-06T10:30:02+09:00
TIDA-SYN-012-NEW,STR-SYN-012,TERM-SYN-012-NEW,TID-210002,2026-06-21T15:00:00+09:00,,active,2026-06-21T15:00:00+09:00,2026-06-21T15:00:01+09:00,2026-06-21T15:00:02+09:00
TIDA-SYN-013-OLD,STR-SYN-013,TERM-SYN-013-OLD,TID-200003,2026-06-07T10:30:00+09:00,,active,2026-06-07T10:30:00+09:00,2026-06-07T10:30:01+09:00,2026-06-07T10:30:02+09:00
TIDA-SYN-013-NEW,STR-SYN-013,TERM-SYN-013-NEW,TID-210003,2026-06-22T15:00:00+09:00,,active,2026-06-22T15:00:00+09:00,2026-06-22T15:00:01+09:00,2026-06-22T15:00:02+09:00
TIDA-SYN-014-OLD,STR-SYN-014,TERM-SYN-014-OLD,TID-200004,2026-06-08T10:30:00+09:00,,active,2026-06-08T10:30:00+09:00,2026-06-08T10:30:01+09:00,2026-06-08T10:30:02+09:00
TIDA-SYN-014-NEW,STR-SYN-014,TERM-SYN-014-NEW,TID-210004,2026-06-23T15:00:00+09:00,,active,2026-06-23T15:00:00+09:00,2026-06-23T15:00:01+09:00,2026-06-23T15:00:02+09:00
TIDA-SYN-015-OLD,STR-SYN-015,TERM-SYN-015-OLD,TID-200005,2026-06-09T10:30:00+09:00,,active,2026-06-09T10:30:00+09:00,2026-06-09T10:30:01+09:00,2026-06-09T10:30:02+09:00
TIDA-SYN-015-NEW,STR-SYN-015,TERM-SYN-015-NEW,TID-210005,2026-06-24T15:00:00+09:00,,active,2026-06-24T15:00:00+09:00,2026-06-24T15:00:01+09:00,2026-06-24T15:00:02+09:00
TIDA-SYN-016-OLD,STR-SYN-016,TERM-SYN-016-OLD,TID-200006,2026-06-10T10:30:00+09:00,,active,2026-06-10T10:30:00+09:00,2026-06-10T10:30:01+09:00,2026-06-10T10:30:02+09:00
TIDA-SYN-016-NEW,STR-SYN-016,TERM-SYN-016-NEW,TID-210006,2026-06-25T15:00:00+09:00,,active,2026-06-25T15:00:00+09:00,2026-06-25T15:00:01+09:00,2026-06-25T15:00:02+09:00
TIDA-SYN-017-OLD,STR-SYN-017,TERM-SYN-017-OLD,TID-200007,2026-06-11T10:30:00+09:00,,active,2026-06-11T10:30:00+09:00,2026-06-11T10:30:01+09:00,2026-06-11T10:30:02+09:00
TIDA-SYN-017-NEW,STR-SYN-017,TERM-SYN-017-NEW,TID-210007,2026-06-26T15:00:00+09:00,,active,2026-06-26T15:00:00+09:00,2026-06-26T15:00:01+09:00,2026-06-26T15:00:02+09:00
TIDA-SYN-018,STR-SYN-018,TERM-SYN-018,TID-300001,2026-06-20T12:30:00+09:00,,active,2026-06-20T12:30:00+09:00,2026-06-20T12:30:01+09:00,2026-06-20T12:30:02+09:00
TIDA-SYN-019,STR-SYN-019,TERM-SYN-019,TID-300002,2026-06-21T12:30:00+09:00,,active,2026-06-21T12:30:00+09:00,2026-06-21T12:30:01+09:00,2026-06-21T12:30:02+09:00
TIDA-SYN-020,STR-SYN-020,TERM-SYN-020,TID-300003,2026-06-22T12:30:00+09:00,,active,2026-06-22T12:30:00+09:00,2026-06-22T12:30:01+09:00,2026-06-22T12:30:02+09:00
TIDA-SYN-021,STR-SYN-021,TERM-SYN-021,TID-300004,2026-06-23T12:30:00+09:00,,active,2026-06-23T12:30:00+09:00,2026-06-23T12:30:01+09:00,2026-06-23T12:30:02+09:00
TIDA-SYN-022,STR-SYN-022,TERM-SYN-022,TID-300005,2026-06-24T12:30:00+09:00,,active,2026-06-24T12:30:00+09:00,2026-06-24T12:30:01+09:00,2026-06-24T12:30:02+09:00
TIDA-SYN-023,STR-SYN-023,TERM-SYN-023,TID-300006,2026-06-25T12:30:00+09:00,,active,2026-06-25T12:30:00+09:00,2026-06-25T12:30:01+09:00,2026-06-25T12:30:02+09:00
TIDA-SYN-024,STR-SYN-024,TERM-SYN-024,TID-300007,2026-06-26T12:30:00+09:00,,active,2026-06-26T12:30:00+09:00,2026-06-26T12:30:01+09:00,2026-06-26T12:30:02+09:00
TIDA-SYN-025,STR-SYN-025,TERM-SYN-025,TID-400001,2026-06-10T12:30:00+09:00,,active,2026-06-10T12:30:00+09:00,2026-06-10T12:30:01+09:00,2026-06-10T12:30:02+09:00
TIDA-SYN-026,STR-SYN-026,TERM-SYN-026,TID-400002,2026-06-11T12:30:00+09:00,,active,2026-06-11T12:30:00+09:00,2026-06-11T12:30:01+09:00,2026-06-11T12:30:02+09:00
TIDA-SYN-027,STR-SYN-027,TERM-SYN-027,TID-400003,2026-06-12T12:30:00+09:00,,active,2026-06-12T12:30:00+09:00,2026-06-12T12:30:01+09:00,2026-06-12T12:30:02+09:00
TIDA-SYN-028,STR-SYN-028,TERM-SYN-028,TID-400004,2026-06-13T12:30:00+09:00,,active,2026-06-13T12:30:00+09:00,2026-06-13T12:30:01+09:00,2026-06-13T12:30:02+09:00
TIDA-SYN-029,STR-SYN-029,TERM-SYN-029,TID-400005,2026-06-14T12:30:00+09:00,,active,2026-06-14T12:30:00+09:00,2026-06-14T12:30:01+09:00,2026-06-14T12:30:02+09:00
TIDA-SYN-030,STR-SYN-030,TERM-SYN-030,TID-400006,2026-06-15T12:30:00+09:00,,active,2026-06-15T12:30:00+09:00,2026-06-15T12:30:01+09:00,2026-06-15T12:30:02+09:00
TIDA-SYN-031,STR-SYN-031,TERM-SYN-031,TID-400007,2026-06-16T12:30:00+09:00,,active,2026-06-16T12:30:00+09:00,2026-06-16T12:30:01+09:00,2026-06-16T12:30:02+09:00
TIDA-SYN-032-OLD,STR-SYN-032,TERM-SYN-032-OLD,TID-500002,2026-06-10T13:30:00+09:00,,active,2026-06-10T13:30:00+09:00,2026-06-10T13:30:01+09:00,2026-06-10T13:30:02+09:00
TIDA-SYN-032-NEW,STR-SYN-032,TERM-SYN-032-NEW,TID-500003,2026-06-20T19:00:00+09:00,,active,2026-06-20T19:00:00+09:00,2026-06-20T19:00:01+09:00,2026-06-20T19:00:02+09:00
TIDA-SYN-033-OLD,STR-SYN-033,TERM-SYN-033-OLD,TID-500004,2026-06-11T13:30:00+09:00,,active,2026-06-11T13:30:00+09:00,2026-06-11T13:30:01+09:00,2026-06-11T13:30:02+09:00
TIDA-SYN-033-NEW,STR-SYN-033,TERM-SYN-033-NEW,TID-500005,2026-06-21T19:00:00+09:00,,active,2026-06-21T19:00:00+09:00,2026-06-21T19:00:01+09:00,2026-06-21T19:00:02+09:00
TIDA-SYN-034-OLD,STR-SYN-034,TERM-SYN-034-OLD,TID-500006,2026-06-12T13:30:00+09:00,,active,2026-06-12T13:30:00+09:00,2026-06-12T13:30:01+09:00,2026-06-12T13:30:02+09:00
TIDA-SYN-034-NEW,STR-SYN-034,TERM-SYN-034-NEW,TID-500007,2026-06-22T19:00:00+09:00,,active,2026-06-22T19:00:00+09:00,2026-06-22T19:00:01+09:00,2026-06-22T19:00:02+09:00
TIDA-SYN-035-OLD,STR-SYN-035,TERM-SYN-035-OLD,TID-500008,2026-06-13T13:30:00+09:00,,active,2026-06-13T13:30:00+09:00,2026-06-13T13:30:01+09:00,2026-06-13T13:30:02+09:00
TIDA-SYN-035-NEW,STR-SYN-035,TERM-SYN-035-NEW,TID-500009,2026-06-23T19:00:00+09:00,,active,2026-06-23T19:00:00+09:00,2026-06-23T19:00:01+09:00,2026-06-23T19:00:02+09:00
TIDA-SYN-036-OLD,STR-SYN-036,TERM-SYN-036-OLD,TID-500010,2026-06-14T13:30:00+09:00,,active,2026-06-14T13:30:00+09:00,2026-06-14T13:30:01+09:00,2026-06-14T13:30:02+09:00
TIDA-SYN-036-NEW,STR-SYN-036,TERM-SYN-036-NEW,TID-500011,2026-06-24T19:00:00+09:00,,active,2026-06-24T19:00:00+09:00,2026-06-24T19:00:01+09:00,2026-06-24T19:00:02+09:00
TIDA-SYN-037-OLD,STR-SYN-037,TERM-SYN-037-OLD,TID-500012,2026-06-15T13:30:00+09:00,,active,2026-06-15T13:30:00+09:00,2026-06-15T13:30:01+09:00,2026-06-15T13:30:02+09:00
TIDA-SYN-037-NEW,STR-SYN-037,TERM-SYN-037-NEW,TID-500013,2026-06-25T19:00:00+09:00,,active,2026-06-25T19:00:00+09:00,2026-06-25T19:00:01+09:00,2026-06-25T19:00:02+09:00
TIDA-SYN-038-OLD,STR-SYN-038,TERM-SYN-038-OLD,TID-500014,2026-06-16T13:30:00+09:00,,active,2026-06-16T13:30:00+09:00,2026-06-16T13:30:01+09:00,2026-06-16T13:30:02+09:00
TIDA-SYN-038-NEW,STR-SYN-038,TERM-SYN-038-NEW,TID-500015,2026-06-26T19:00:00+09:00,,active,2026-06-26T19:00:00+09:00,2026-06-26T19:00:01+09:00,2026-06-26T19:00:02+09:00
TIDA-SYN-039-OLD,STR-SYN-039,TERM-SYN-039-OLD,TID-106001,2026-05-31T14:30:00+09:00,,active,2026-05-31T14:30:00+09:00,2026-05-31T14:30:01+09:00,2026-05-31T14:30:02+09:00
TIDA-SYN-039-NEW,STR-SYN-039,TERM-SYN-039-NEW,TID-106001,2026-06-20T20:00:00+09:00,,active,2026-06-20T20:00:00+09:00,2026-06-20T20:00:01+09:00,2026-06-20T20:00:02+09:00
TIDA-SYN-040-OLD,STR-SYN-040,TERM-SYN-040-OLD,TID-106002,2026-06-01T14:30:00+09:00,,active,2026-06-01T14:30:00+09:00,2026-06-01T14:30:01+09:00,2026-06-01T14:30:02+09:00
TIDA-SYN-040-NEW,STR-SYN-040,TERM-SYN-040-NEW,TID-106002,2026-06-21T20:00:00+09:00,,active,2026-06-21T20:00:00+09:00,2026-06-21T20:00:01+09:00,2026-06-21T20:00:02+09:00
TIDA-SYN-041-OLD,STR-SYN-041,TERM-SYN-041-OLD,TID-106003,2026-06-02T14:30:00+09:00,,active,2026-06-02T14:30:00+09:00,2026-06-02T14:30:01+09:00,2026-06-02T14:30:02+09:00
TIDA-SYN-041-NEW,STR-SYN-041,TERM-SYN-041-NEW,TID-106003,2026-06-22T20:00:00+09:00,,active,2026-06-22T20:00:00+09:00,2026-06-22T20:00:01+09:00,2026-06-22T20:00:02+09:00
TIDA-SYN-042-OLD,STR-SYN-042,TERM-SYN-042-OLD,TID-106004,2026-06-03T14:30:00+09:00,,active,2026-06-03T14:30:00+09:00,2026-06-03T14:30:01+09:00,2026-06-03T14:30:02+09:00
TIDA-SYN-042-NEW,STR-SYN-042,TERM-SYN-042-NEW,TID-106004,2026-06-23T20:00:00+09:00,,active,2026-06-23T20:00:00+09:00,2026-06-23T20:00:01+09:00,2026-06-23T20:00:02+09:00
TIDA-SYN-043-OLD,STR-SYN-043,TERM-SYN-043-OLD,TID-106001,2026-05-31T15:30:00+09:00,,active,2026-05-31T15:30:00+09:00,2026-05-31T15:30:01+09:00,2026-05-31T15:30:02+09:00
TIDA-SYN-043-NEW,STR-SYN-043,TERM-SYN-043-NEW,TID-106001,2026-06-20T21:00:00+09:00,,active,2026-06-20T21:00:00+09:00,2026-06-20T21:00:01+09:00,2026-06-20T21:00:02+09:00
TIDA-SYN-044-OLD,STR-SYN-044,TERM-SYN-044-OLD,TID-106002,2026-06-01T15:30:00+09:00,,active,2026-06-01T15:30:00+09:00,2026-06-01T15:30:01+09:00,2026-06-01T15:30:02+09:00
TIDA-SYN-044-NEW,STR-SYN-044,TERM-SYN-044-NEW,TID-106002,2026-06-21T21:00:00+09:00,,active,2026-06-21T21:00:00+09:00,2026-06-21T21:00:01+09:00,2026-06-21T21:00:02+09:00
TIDA-SYN-045-OLD,STR-SYN-045,TERM-SYN-045-OLD,TID-106003,2026-06-02T15:30:00+09:00,,active,2026-06-02T15:30:00+09:00,2026-06-02T15:30:01+09:00,2026-06-02T15:30:02+09:00
TIDA-SYN-045-NEW,STR-SYN-045,TERM-SYN-045-NEW,TID-106003,2026-06-22T21:00:00+09:00,,active,2026-06-22T21:00:00+09:00,2026-06-22T21:00:01+09:00,2026-06-22T21:00:02+09:00
TIDA-SYN-046-OLD-H,STR-SYN-046,TERM-SYN-046-OLD,TID-700001,2026-06-05T16:30:00+09:00,,active,2026-06-05T16:30:00+09:00,2026-06-05T16:30:01+09:00,2026-06-05T16:30:02+09:00
TIDA-SYN-046-NEW-H,STR-SYN-046,TERM-SYN-046-NEW,TID-700001,2026-06-20T22:00:00+09:00,2026-06-20T23:10:00+09:00,replaced,2026-06-20T22:00:00+09:00,2026-06-20T22:00:01+09:00,2026-06-20T22:00:02+09:00
TIDA-SYN-046-NEW-C,STR-SYN-046,TERM-SYN-046-NEW,TID-710001,2026-06-20T23:10:00+09:00,,active,2026-06-20T23:10:00+09:00,2026-06-20T23:10:01+09:00,2026-06-20T23:10:02+09:00
TIDA-SYN-047-OLD-H,STR-SYN-047,TERM-SYN-047-OLD,TID-700002,2026-06-06T16:30:00+09:00,,active,2026-06-06T16:30:00+09:00,2026-06-06T16:30:01+09:00,2026-06-06T16:30:02+09:00
TIDA-SYN-047-NEW-H,STR-SYN-047,TERM-SYN-047-NEW,TID-700002,2026-06-21T22:00:00+09:00,2026-06-21T23:10:00+09:00,replaced,2026-06-21T22:00:00+09:00,2026-06-21T22:00:01+09:00,2026-06-21T22:00:02+09:00
TIDA-SYN-047-NEW-C,STR-SYN-047,TERM-SYN-047-NEW,TID-710002,2026-06-21T23:10:00+09:00,,active,2026-06-21T23:10:00+09:00,2026-06-21T23:10:01+09:00,2026-06-21T23:10:02+09:00
TIDA-SYN-048-OLD-H,STR-SYN-048,TERM-SYN-048-OLD,TID-700003,2026-06-07T16:30:00+09:00,,active,2026-06-07T16:30:00+09:00,2026-06-07T16:30:01+09:00,2026-06-07T16:30:02+09:00
TIDA-SYN-048-NEW-H,STR-SYN-048,TERM-SYN-048-NEW,TID-700003,2026-06-22T22:00:00+09:00,2026-06-22T23:10:00+09:00,replaced,2026-06-22T22:00:00+09:00,2026-06-22T22:00:01+09:00,2026-06-22T22:00:02+09:00
TIDA-SYN-048-NEW-C,STR-SYN-048,TERM-SYN-048-NEW,TID-710003,2026-06-22T23:10:00+09:00,,active,2026-06-22T23:10:00+09:00,2026-06-22T23:10:01+09:00,2026-06-22T23:10:02+09:00
TIDA-SYN-049-OLD-H,STR-SYN-049,TERM-SYN-049-OLD,TID-700004,2026-06-08T16:30:00+09:00,,active,2026-06-08T16:30:00+09:00,2026-06-08T16:30:01+09:00,2026-06-08T16:30:02+09:00
TIDA-SYN-049-NEW-H,STR-SYN-049,TERM-SYN-049-NEW,TID-700004,2026-06-23T22:00:00+09:00,2026-06-23T23:10:00+09:00,replaced,2026-06-23T22:00:00+09:00,2026-06-23T22:00:01+09:00,2026-06-23T22:00:02+09:00
TIDA-SYN-049-NEW-C,STR-SYN-049,TERM-SYN-049-NEW,TID-710004,2026-06-23T23:10:00+09:00,,active,2026-06-23T23:10:00+09:00,2026-06-23T23:10:01+09:00,2026-06-23T23:10:02+09:00
TIDA-SYN-050-OLD-H,STR-SYN-050,TERM-SYN-050-OLD,TID-700005,2026-06-09T16:30:00+09:00,,active,2026-06-09T16:30:00+09:00,2026-06-09T16:30:01+09:00,2026-06-09T16:30:02+09:00
TIDA-SYN-050-NEW-H,STR-SYN-050,TERM-SYN-050-NEW,TID-700005,2026-06-24T22:00:00+09:00,2026-06-24T23:10:00+09:00,replaced,2026-06-24T22:00:00+09:00,2026-06-24T22:00:01+09:00,2026-06-24T22:00:02+09:00
TIDA-SYN-050-NEW-C,STR-SYN-050,TERM-SYN-050-NEW,TID-710005,2026-06-24T23:10:00+09:00,,active,2026-06-24T23:10:00+09:00,2026-06-24T23:10:01+09:00,2026-06-24T23:10:02+09:00
