ledger_id,reward_id,purchase_id,customer_id,card_id,product_id,reward_batch_id,processing_route,expected_payment_date,paid_reward_amount,paid_at,payment_status,incident_id,source_system
LED_AL50_00027,REW_AL50_00027,PUR_AL50_00027,CUST_0232,CARD_AL50_0037,JB_FRIENDS_CARD,REWARD-20260629,STANDARD,2026-06-29,0,,NOT_ELIGIBLE,,router_aligned_50_fixture
LED_AL50_00028,REW_AL50_00028,PUR_AL50_00028,CUST_0351,CARD_AL50_0043,JB_SALARY_QUICK_CASHBACK,REWARD-20260629,STANDARD,2026-06-29,0,,NOT_ELIGIBLE,,router_aligned_50_fixture
LED_AL50_00029,REW_AL50_00029,PUR_AL50_00029,CUST_0233,CARD_AL50_0038,JB_FRIENDS_CARD,REWARD-20260629,STANDARD,2026-06-29,0,,NOT_ELIGIBLE,,router_aligned_50_fixture
LED_AL50_00030,REW_AL50_00030,PUR_AL50_00030,CUST_0352,CARD_AL50_0044,JB_SALARY_QUICK_CASHBACK,REWARD-20260629,STANDARD,2026-06-29,0,,NOT_ELIGIBLE,,router_aligned_50_fixture
LED_AL50_00031,REW_AL50_00031,PUR_AL50_00031,CUST_0361,CARD_AL50_0045,JB_SALARY_QUICK_CASHBACK,REWARD-20260629,STANDARD,2026-06-29,0,,NOT_ELIGIBLE,,router_aligned_50_fixture
LED_AL50_00032,REW_AL50_00032,PUR_AL50_00032,CUST_0362,CARD_AL50_0046,JB_SALARY_QUICK_CASHBACK,REWARD-20260629,STANDARD,2026-06-29,0,,NOT_ELIGIBLE,,router_aligned_50_fixture
LED_AL50_00033,REW_AL50_00033,PUR_AL50_00033,CUST_0241,CARD_AL50_0039,JB_FRIENDS_CARD,REWARD-20260629,STANDARD,2026-06-29,0,,NOT_ELIGIBLE,,router_aligned_50_fixture
LED_AL50_00034,REW_AL50_00034,PUR_AL50_00034,CUST_0242,CARD_AL50_0040,JB_FRIENDS_CARD,REWARD-20260629,STANDARD,2026-06-29,0,,NOT_ELIGIBLE,,router_aligned_50_fixture
LED_AL50_00035,REW_AL50_00035,PUR_AL50_00035,CUST_0363,CARD_AL50_0047,JB_SALARY_QUICK_CASHBACK,REWARD-20260629,STANDARD,2026-06-29,0,,NOT_ELIGIBLE,,router_aligned_50_fixture
LED_AL50_00036,REW_AL50_00036,PUR_AL50_00036,CUST_0081,CARD_AL50_0023,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,340,2026-06-29,PAID,,router_aligned_50_fixture
LED_AL50_00037,REW_AL50_00037,PUR_AL50_00037,CUST_0082,CARD_AL50_0024,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,12000,2026-06-29,PAID,,router_aligned_50_fixture
LED_AL50_00038,REW_AL50_00038,PUR_AL50_00038,CUST_0083,CARD_AL50_0025,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,0,,NOT_ELIGIBLE,,router_aligned_50_fixture
LED_AL50_00039,REW_AL50_00039,PUR_AL50_00039,CUST_0084,CARD_AL50_0026,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,0,,NOT_ELIGIBLE,,router_aligned_50_fixture
LED_AL50_00040,REW_AL50_00040,PUR_AL50_00040,CUST_0085,CARD_AL50_0027,JB_SMART_CASHBACK_CHECK,REWARD-20260727,LEGACY,2026-07-27,0,,PENDING,,router_aligned_50_fixture
LED_AL50_00041,REW_AL50_00041,PUR_AL50_00041,CUST_0086,CARD_AL50_0028,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,0,,NOT_ELIGIBLE,,router_aligned_50_fixture
LED_AL50_00042,REW_AL50_00042,PUR_AL50_00042,CUST_0087,CARD_AL50_0029,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,70,2026-06-29,PAID,,router_aligned_50_fixture
LED_AL50_00043,REW_AL50_00043,PUR_AL50_00043,CUST_0088,CARD_AL50_0030,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,340,2026-06-29,PAID,,router_aligned_50_fixture
LED_AL50_00044,REW_AL50_00044,PUR_AL50_00044,CUST_0089,CARD_AL50_0031,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,400,2026-06-29,PAID,,router_aligned_50_fixture
LED_AL50_00045,REW_AL50_00045,PUR_AL50_00045,CUST_0090,CARD_AL50_0032,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,400,2026-06-29,PAID,,router_aligned_50_fixture
LED_AL50_00046,REW_AL50_00046,PUR_AL50_00046,CUST_0101,CARD_AL50_0033,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,1540,2026-06-29,PAID,,router_aligned_50_fixture
LED_AL50_00047,REW_AL50_00047,PUR_AL50_00047,CUST_0102,CARD_AL50_0034,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,5200,2026-06-29,PAID,,router_aligned_50_fixture
LED_AL50_00048,REW_AL50_00048,PUR_AL50_00048,CUST_0261,CARD_AL50_0041,JB_FRIENDS_CARD,REWARD-20260629,STANDARD,2026-06-29,0,,NOT_ELIGIBLE,,router_aligned_50_fixture
LED_AL50_00049,REW_AL50_00049,PUR_AL50_00049,CUST_0381,CARD_AL50_0048,JB_SALARY_QUICK_CASHBACK,REWARD-20260629,STANDARD,2026-06-29,0,,NOT_ELIGIBLE,,router_aligned_50_fixture
LED_AL50_00050,REW_AL50_00050,PUR_AL50_00050,CUST_0103,CARD_AL50_0035,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,340,2026-06-29,PAID,,router_aligned_50_fixture
LED_AL50_00061,REW_AL50_00061,PUR_AL50_00061,CUST_UNREPORTED_011,CARD_AL50_0059,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,90,2026-06-29,PAID_UNDER_CALCULATED,INC-H07-20260629-LEGACY,router_aligned_50_fixture
LED_AL50_00062,REW_AL50_00062,PUR_AL50_00062,CUST_UNREPORTED_012,CARD_AL50_0060,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,0,2026-06-29,PAID_UNDER_CALCULATED,INC-H07-20260629-LEGACY,router_aligned_50_fixture
LED_AL50_00063,REW_AL50_00063,PUR_AL50_00063,CUST_UNREPORTED_013,CARD_AL50_0061,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,470,2026-06-29,PAID_UNDER_CALCULATED,INC-H07-20260629-LEGACY,router_aligned_50_fixture
LED_AL50_00064,REW_AL50_00064,PUR_AL50_00064,CUST_UNREPORTED_014,CARD_AL50_0062,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,1520,2026-06-29,PAID_UNDER_CALCULATED,INC-H07-20260629-LEGACY,router_aligned_50_fixture
LED_AL50_00065,REW_AL50_00065,PUR_AL50_00065,CUST_UNREPORTED_015,CARD_AL50_0063,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,575,2026-06-29,PAID_UNDER_CALCULATED,INC-H07-20260629-LEGACY,router_aligned_50_fixture
LED_AL50_00066,REW_AL50_00066,PUR_AL50_00066,CUST_UNREPORTED_016,CARD_AL50_0064,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,0,,FAILED,INC-H07-20260629-LEGACY,router_aligned_50_fixture
LED_AL50_00067,REW_AL50_00067,PUR_AL50_00067,CUST_UNREPORTED_017,CARD_AL50_0065,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,0,,FAILED,INC-H07-20260629-LEGACY,router_aligned_50_fixture
LED_AL50_00068,REW_AL50_00068,PUR_AL50_00068,CUST_UNREPORTED_018,CARD_AL50_0066,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,0,,FAILED,INC-H07-20260629-LEGACY,router_aligned_50_fixture
LED_AL50_00069,REW_AL50_00069,PUR_AL50_00069,CUST_UNREPORTED_019,CARD_AL50_0067,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,0,,FAILED,INC-H07-20260629-LEGACY,router_aligned_50_fixture
LED_AL50_00070,REW_AL50_00070,PUR_AL50_00070,CUST_UNREPORTED_020,CARD_AL50_0068,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,0,,FAILED,INC-H07-20260629-LEGACY,router_aligned_50_fixture
LED_AL50_00071,REW_AL50_00071,PUR_AL50_00071,CUST_UNREPORTED_021,CARD_AL50_0069,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,0,,FAILED,INC-H07-20260629-LEGACY,router_aligned_50_fixture
LED_AL50_00072,REW_AL50_00072,PUR_AL50_00072,CUST_UNREPORTED_022,CARD_AL50_0070,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,0,,FAILED,INC-H07-20260629-LEGACY,router_aligned_50_fixture
LED_AL50_00073,REW_AL50_00073,PUR_AL50_00073,CUST_UNREPORTED_023,CARD_AL50_0071,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,0,,FAILED,INC-H07-20260629-LEGACY,router_aligned_50_fixture
LED_AL50_00074,REW_AL50_00074,PUR_AL50_00074,CUST_UNREPORTED_024,CARD_AL50_0072,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,0,,FAILED,INC-H07-20260629-LEGACY,router_aligned_50_fixture
LED_AL50_00075,REW_AL50_00075,PUR_AL50_00075,CUST_UNREPORTED_025,CARD_AL50_0073,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,0,,FAILED,INC-H07-20260629-LEGACY,router_aligned_50_fixture
