purchase_id,card_id,customer_id,product_id,purchase_date,purchase_month,amount,merchant_id,status,cancelled_at,processing_route,source_system
PUR_AL50_00014,CARD_AL50_0011,CUST_0025,JB_SMART_CASHBACK_CHECK,2026-05-18,2026-05,86000,M0035,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00015,CARD_AL50_0012,CUST_0026,JB_SMART_CASHBACK_CHECK,2026-05-18,2026-05,68000,M0021,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00016,CARD_AL50_0013,CUST_0027,JB_SMART_CASHBACK_CHECK,2026-05-18,2026-05,120000,M0054,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00017,CARD_AL50_0014,CUST_0028,JB_SMART_CASHBACK_CHECK,2026-05-18,2026-05,120000,M0055,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00018,CARD_AL50_0015,CUST_0029,JB_SMART_CASHBACK_CHECK,2026-05-18,2026-05,120000,M0056,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00019,CARD_AL50_0016,CUST_0030,JB_SMART_CASHBACK_CHECK,2026-05-18,2026-05,120000,M0057,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00020,CARD_AL50_0017,CUST_0031,JB_SMART_CASHBACK_CHECK,2026-05-18,2026-05,1100000,M0001,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00021,CARD_AL50_0018,CUST_0061,JB_SMART_CASHBACK_CHECK,2026-05-18,2026-05,35000,M0049,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00022,CARD_AL50_0019,CUST_0062,JB_SMART_CASHBACK_CHECK,2026-05-18,2026-05,68000,M0028,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00023,CARD_AL50_0020,CUST_0063,JB_SMART_CASHBACK_CHECK,2026-05-18,2026-05,80000,M0047,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00024,CARD_AL50_0021,CUST_0064,JB_SMART_CASHBACK_CHECK,2026-05-18,2026-05,80000,M0058,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00025,CARD_AL50_0022,CUST_0065,JB_SMART_CASHBACK_CHECK,2026-05-18,2026-05,220000,M0070,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00026,CARD_AL50_0036,CUST_0231,JB_FRIENDS_CARD,2026-05-21,2026-05,520000,M0075,COMPLETED,,STANDARD,router_aligned_50_fixture
PUR_AL50_00027,CARD_AL50_0037,CUST_0232,JB_FRIENDS_CARD,2026-05-21,2026-05,1100000,M0008,COMPLETED,,STANDARD,router_aligned_50_fixture
PUR_AL50_00028,CARD_AL50_0043,CUST_0351,JB_SALARY_QUICK_CASHBACK,2026-05-21,2026-05,35000,M0056,COMPLETED,,STANDARD,router_aligned_50_fixture
PUR_AL50_00029,CARD_AL50_0038,CUST_0233,JB_FRIENDS_CARD,2026-05-21,2026-05,68000,M0035,COMPLETED,,STANDARD,router_aligned_50_fixture
PUR_AL50_00030,CARD_AL50_0044,CUST_0352,JB_SALARY_QUICK_CASHBACK,2026-05-21,2026-05,80000,M0042,COMPLETED,,STANDARD,router_aligned_50_fixture
PUR_AL50_00031,CARD_AL50_0045,CUST_0361,JB_SALARY_QUICK_CASHBACK,2026-05-21,2026-05,120000,M0049,COMPLETED,,STANDARD,router_aligned_50_fixture
PUR_AL50_00032,CARD_AL50_0046,CUST_0362,JB_SALARY_QUICK_CASHBACK,2026-05-21,2026-05,220000,M0070,COMPLETED,,STANDARD,router_aligned_50_fixture
PUR_AL50_00033,CARD_AL50_0039,CUST_0241,JB_FRIENDS_CARD,2026-05-21,2026-05,120000,M0051,COMPLETED,,STANDARD,router_aligned_50_fixture
PUR_AL50_00034,CARD_AL50_0040,CUST_0242,JB_FRIENDS_CARD,2026-05-21,2026-05,1100000,M0015,COMPLETED,,STANDARD,router_aligned_50_fixture
PUR_AL50_00035,CARD_AL50_0047,CUST_0363,JB_SALARY_QUICK_CASHBACK,2026-05-21,2026-05,35000,M0053,COMPLETED,,STANDARD,router_aligned_50_fixture
PUR_AL50_00036,CARD_AL50_0023,CUST_0081,JB_SMART_CASHBACK_CHECK,2026-05-16,2026-05,68000,M0027,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00037,CARD_AL50_0024,CUST_0082,JB_SMART_CASHBACK_CHECK,2026-05-16,2026-05,1000000,M0018,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00038,CARD_AL50_0025,CUST_0083,JB_SMART_CASHBACK_CHECK,2026-05-20,2026-05,150000,M0087,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00039,CARD_AL50_0026,CUST_0084,JB_SMART_CASHBACK_CHECK,2026-05-20,2026-05,1200000,M0084,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00040,CARD_AL50_0027,CUST_0085,JB_SMART_CASHBACK_CHECK,2026-06-15,2026-06,100000,M0048,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00041,CARD_AL50_0028,CUST_0086,JB_SMART_CASHBACK_CHECK,2026-05-20,2026-05,5000000,M0090,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00042,CARD_AL50_0029,CUST_0087,JB_SMART_CASHBACK_CHECK,2026-05-16,2026-05,35000,M0050,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00043,CARD_AL50_0030,CUST_0088,JB_SMART_CASHBACK_CHECK,2026-05-16,2026-05,68000,M0034,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00044,CARD_AL50_0031,CUST_0089,JB_SMART_CASHBACK_CHECK,2026-05-16,2026-05,80000,M0044,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00045,CARD_AL50_0032,CUST_0090,JB_SMART_CASHBACK_CHECK,2026-05-16,2026-05,80000,M0063,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00046,CARD_AL50_0033,CUST_0101,JB_SMART_CASHBACK_CHECK,2026-05-16,2026-05,220000,M0070,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00047,CARD_AL50_0034,CUST_0102,JB_SMART_CASHBACK_CHECK,2026-05-16,2026-05,520000,M0080,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00048,CARD_AL50_0041,CUST_0261,JB_FRIENDS_CARD,2026-05-16,2026-05,1100000,M0009,COMPLETED,,STANDARD,router_aligned_50_fixture
PUR_AL50_00049,CARD_AL50_0048,CUST_0381,JB_SALARY_QUICK_CASHBACK,2026-05-16,2026-05,35000,M0057,COMPLETED,,STANDARD,router_aligned_50_fixture
PUR_AL50_00050,CARD_AL50_0035,CUST_0103,JB_SMART_CASHBACK_CHECK,2026-05-16,2026-05,68000,M0026,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00051,CARD_AL50_0049,CUST_UNREPORTED_001,JB_SMART_CASHBACK_CHECK,2026-05-22,2026-05,78000,M0027,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00052,CARD_AL50_0050,CUST_UNREPORTED_002,JB_SMART_CASHBACK_CHECK,2026-05-22,2026-05,42000,M0040,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00053,CARD_AL50_0051,CUST_UNREPORTED_003,JB_SMART_CASHBACK_CHECK,2026-05-22,2026-05,110000,M0070,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00054,CARD_AL50_0052,CUST_UNREPORTED_004,JB_SMART_CASHBACK_CHECK,2026-05-22,2026-05,260000,M0079,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00055,CARD_AL50_0053,CUST_UNREPORTED_005,JB_SMART_CASHBACK_CHECK,2026-05-22,2026-05,125000,M0053,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00056,CARD_AL50_0054,CUST_UNREPORTED_006,JB_SMART_CASHBACK_CHECK,2026-05-22,2026-05,78000,M0032,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00057,CARD_AL50_0055,CUST_UNREPORTED_007,JB_SMART_CASHBACK_CHECK,2026-05-22,2026-05,42000,M0045,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00058,CARD_AL50_0056,CUST_UNREPORTED_008,JB_SMART_CASHBACK_CHECK,2026-05-22,2026-05,110000,M0068,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00059,CARD_AL50_0057,CUST_UNREPORTED_009,JB_SMART_CASHBACK_CHECK,2026-05-22,2026-05,260000,M0076,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00060,CARD_AL50_0058,CUST_UNREPORTED_010,JB_SMART_CASHBACK_CHECK,2026-05-22,2026-05,125000,M0048,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00061,CARD_AL50_0059,CUST_UNREPORTED_011,JB_SMART_CASHBACK_CHECK,2026-05-22,2026-05,78000,M0022,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00062,CARD_AL50_0060,CUST_UNREPORTED_012,JB_SMART_CASHBACK_CHECK,2026-05-22,2026-05,42000,M0038,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00063,CARD_AL50_0061,CUST_UNREPORTED_013,JB_SMART_CASHBACK_CHECK,2026-05-22,2026-05,110000,M0066,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00064,CARD_AL50_0062,CUST_UNREPORTED_014,JB_SMART_CASHBACK_CHECK,2026-05-22,2026-05,260000,M0073,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00065,CARD_AL50_0063,CUST_UNREPORTED_015,JB_SMART_CASHBACK_CHECK,2026-05-22,2026-05,125000,M0053,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00066,CARD_AL50_0064,CUST_UNREPORTED_016,JB_SMART_CASHBACK_CHECK,2026-05-22,2026-05,78000,M0027,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00067,CARD_AL50_0065,CUST_UNREPORTED_017,JB_SMART_CASHBACK_CHECK,2026-05-22,2026-05,42000,M0043,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00068,CARD_AL50_0066,CUST_UNREPORTED_018,JB_SMART_CASHBACK_CHECK,2026-05-22,2026-05,110000,M0071,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00069,CARD_AL50_0067,CUST_UNREPORTED_019,JB_SMART_CASHBACK_CHECK,2026-05-22,2026-05,260000,M0078,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00070,CARD_AL50_0068,CUST_UNREPORTED_020,JB_SMART_CASHBACK_CHECK,2026-05-22,2026-05,125000,M0048,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00071,CARD_AL50_0069,CUST_UNREPORTED_021,JB_SMART_CASHBACK_CHECK,2026-05-22,2026-05,78000,M0032,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00072,CARD_AL50_0070,CUST_UNREPORTED_022,JB_SMART_CASHBACK_CHECK,2026-05-22,2026-05,42000,M0036,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00073,CARD_AL50_0071,CUST_UNREPORTED_023,JB_SMART_CASHBACK_CHECK,2026-05-22,2026-05,110000,M0069,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00074,CARD_AL50_0072,CUST_UNREPORTED_024,JB_SMART_CASHBACK_CHECK,2026-05-22,2026-05,260000,M0075,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00075,CARD_AL50_0073,CUST_UNREPORTED_025,JB_SMART_CASHBACK_CHECK,2026-05-22,2026-05,125000,M0053,COMPLETED,,LEGACY,router_aligned_50_fixture
