reward_id,purchase_id,customer_id,card_id,product_id,purchase_month,expected_payment_date,reward_batch_id,purchase_amount,merchant_category,purchase_status,reward_rate,gross_reward_amount,expected_reward_amount,monthly_cap_amount,eligibility_reason,included_in_monthly_cap,processing_route,source_system,v3_anomaly_flag,v3_original_expected_reward_amount
REW_AL50_00013,PUR_AL50_00013,CUST_0024,CARD_AL50_0010,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,1100000,GENERAL,COMPLETED,0.012,13200,13200,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,False,13200
REW_AL50_00014,PUR_AL50_00014,CUST_0025,CARD_AL50_0011,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,86000,RESTAURANT,COMPLETED,0.005,430,430,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,False,430
REW_AL50_00015,PUR_AL50_00015,CUST_0026,CARD_AL50_0012,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,68000,RESTAURANT,COMPLETED,0.005,340,340,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,False,340
REW_AL50_00016,PUR_AL50_00016,CUST_0027,CARD_AL50_0013,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,120000,GROCERY,COMPLETED,0.007,840,840,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,False,840
REW_AL50_00017,PUR_AL50_00017,CUST_0028,CARD_AL50_0014,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,120000,GROCERY,COMPLETED,0.007,840,840,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,False,840
REW_AL50_00018,PUR_AL50_00018,CUST_0029,CARD_AL50_0015,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,120000,GROCERY,COMPLETED,0.007,840,840,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,False,840
REW_AL50_00019,PUR_AL50_00019,CUST_0030,CARD_AL50_0016,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,120000,GROCERY,COMPLETED,0.007,840,840,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,False,840
REW_AL50_00020,PUR_AL50_00020,CUST_0031,CARD_AL50_0017,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,1100000,GENERAL,COMPLETED,0.012,13200,13200,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,False,13200
REW_AL50_00021,PUR_AL50_00021,CUST_0061,CARD_AL50_0018,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,35000,GROCERY,COMPLETED,0.002,70,70,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,False,70
REW_AL50_00022,PUR_AL50_00022,CUST_0062,CARD_AL50_0019,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,68000,RESTAURANT,COMPLETED,0.005,340,340,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,False,340
REW_AL50_00023,PUR_AL50_00023,CUST_0063,CARD_AL50_0020,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,80000,CAFE,COMPLETED,0.005,400,400,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,False,400
REW_AL50_00024,PUR_AL50_00024,CUST_0064,CARD_AL50_0021,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,80000,CONVENIENCE,COMPLETED,0.005,400,400,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,False,400
REW_AL50_00025,PUR_AL50_00025,CUST_0065,CARD_AL50_0022,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,220000,FUEL,COMPLETED,0.007,1540,1540,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,False,1540
REW_AL50_00026,PUR_AL50_00026,CUST_0231,CARD_AL50_0036,JB_FRIENDS_CARD,2026-05,2026-06-29,REWARD-20260629,520000,MEDICAL,COMPLETED,0.0,0,0,100000,UNSUPPORTED_PRODUCT_FOR_H07,False,STANDARD,router_aligned_50_fixture,False,0
REW_AL50_00027,PUR_AL50_00027,CUST_0232,CARD_AL50_0037,JB_FRIENDS_CARD,2026-05,2026-06-29,REWARD-20260629,1100000,GENERAL,COMPLETED,0.0,0,0,100000,UNSUPPORTED_PRODUCT_FOR_H07,False,STANDARD,router_aligned_50_fixture,False,0
REW_AL50_00028,PUR_AL50_00028,CUST_0351,CARD_AL50_0043,JB_SALARY_QUICK_CASHBACK,2026-05,2026-06-29,REWARD-20260629,35000,GROCERY,COMPLETED,0.0,0,0,100000,UNSUPPORTED_PRODUCT_FOR_H07,False,STANDARD,router_aligned_50_fixture,False,0
REW_AL50_00029,PUR_AL50_00029,CUST_0233,CARD_AL50_0038,JB_FRIENDS_CARD,2026-05,2026-06-29,REWARD-20260629,68000,RESTAURANT,COMPLETED,0.0,0,0,100000,UNSUPPORTED_PRODUCT_FOR_H07,False,STANDARD,router_aligned_50_fixture,False,0
REW_AL50_00030,PUR_AL50_00030,CUST_0352,CARD_AL50_0044,JB_SALARY_QUICK_CASHBACK,2026-05,2026-06-29,REWARD-20260629,80000,CAFE,COMPLETED,0.0,0,0,100000,UNSUPPORTED_PRODUCT_FOR_H07,False,STANDARD,router_aligned_50_fixture,False,0
REW_AL50_00031,PUR_AL50_00031,CUST_0361,CARD_AL50_0045,JB_SALARY_QUICK_CASHBACK,2026-05,2026-06-29,REWARD-20260629,120000,GROCERY,COMPLETED,0.0,0,0,100000,UNSUPPORTED_PRODUCT_FOR_H07,False,STANDARD,router_aligned_50_fixture,False,0
REW_AL50_00032,PUR_AL50_00032,CUST_0362,CARD_AL50_0046,JB_SALARY_QUICK_CASHBACK,2026-05,2026-06-29,REWARD-20260629,220000,FUEL,COMPLETED,0.0,0,0,100000,UNSUPPORTED_PRODUCT_FOR_H07,False,STANDARD,router_aligned_50_fixture,False,0
REW_AL50_00033,PUR_AL50_00033,CUST_0241,CARD_AL50_0039,JB_FRIENDS_CARD,2026-05,2026-06-29,REWARD-20260629,120000,GROCERY,COMPLETED,0.0,0,0,100000,UNSUPPORTED_PRODUCT_FOR_H07,False,STANDARD,router_aligned_50_fixture,False,0
REW_AL50_00034,PUR_AL50_00034,CUST_0242,CARD_AL50_0040,JB_FRIENDS_CARD,2026-05,2026-06-29,REWARD-20260629,1100000,GENERAL,COMPLETED,0.0,0,0,100000,UNSUPPORTED_PRODUCT_FOR_H07,False,STANDARD,router_aligned_50_fixture,False,0
REW_AL50_00035,PUR_AL50_00035,CUST_0363,CARD_AL50_0047,JB_SALARY_QUICK_CASHBACK,2026-05,2026-06-29,REWARD-20260629,35000,GROCERY,COMPLETED,0.0,0,0,100000,UNSUPPORTED_PRODUCT_FOR_H07,False,STANDARD,router_aligned_50_fixture,False,0
REW_AL50_00036,PUR_AL50_00036,CUST_0081,CARD_AL50_0023,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,68000,RESTAURANT,COMPLETED,0.005,340,340,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,False,340
REW_AL50_00037,PUR_AL50_00037,CUST_0082,CARD_AL50_0024,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,1000000,GENERAL,COMPLETED,0.012,12000,12000,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,False,12000
REW_AL50_00038,PUR_AL50_00038,CUST_0083,CARD_AL50_0025,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,150000,PUBLIC_CHARGE,COMPLETED,0.0,0,0,100000,EXCLUDED_MERCHANT_CATEGORY,False,LEGACY,router_aligned_50_fixture,False,0
REW_AL50_00039,PUR_AL50_00039,CUST_0084,CARD_AL50_0026,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,1200000,TAX,COMPLETED,0.0,0,0,100000,EXCLUDED_MERCHANT_CATEGORY,False,LEGACY,router_aligned_50_fixture,False,0
REW_AL50_00040,PUR_AL50_00040,CUST_0085,CARD_AL50_0027,JB_SMART_CASHBACK_CHECK,2026-06,2026-07-27,REWARD-20260727,100000,GROCERY,COMPLETED,0.007,700,700,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,False,700
REW_AL50_00041,PUR_AL50_00041,CUST_0086,CARD_AL50_0028,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,5000000,TUITION,COMPLETED,0.0,0,0,100000,EXCLUDED_MERCHANT_CATEGORY,False,LEGACY,router_aligned_50_fixture,False,0
REW_AL50_00042,PUR_AL50_00042,CUST_0087,CARD_AL50_0029,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,35000,GROCERY,COMPLETED,0.002,70,70,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,False,70
REW_AL50_00043,PUR_AL50_00043,CUST_0088,CARD_AL50_0030,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,68000,RESTAURANT,COMPLETED,0.005,340,340,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,False,340
REW_AL50_00044,PUR_AL50_00044,CUST_0089,CARD_AL50_0031,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,80000,CAFE,COMPLETED,0.005,400,400,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,False,400
REW_AL50_00045,PUR_AL50_00045,CUST_0090,CARD_AL50_0032,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,80000,CONVENIENCE,COMPLETED,0.005,400,400,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,False,400
REW_AL50_00046,PUR_AL50_00046,CUST_0101,CARD_AL50_0033,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,220000,FUEL,COMPLETED,0.007,1540,1540,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,False,1540
REW_AL50_00047,PUR_AL50_00047,CUST_0102,CARD_AL50_0034,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,520000,MEDICAL,COMPLETED,0.01,5200,5200,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,False,5200
REW_AL50_00048,PUR_AL50_00048,CUST_0261,CARD_AL50_0041,JB_FRIENDS_CARD,2026-05,2026-06-29,REWARD-20260629,1100000,GENERAL,COMPLETED,0.0,0,0,100000,UNSUPPORTED_PRODUCT_FOR_H07,False,STANDARD,router_aligned_50_fixture,False,0
REW_AL50_00049,PUR_AL50_00049,CUST_0381,CARD_AL50_0048,JB_SALARY_QUICK_CASHBACK,2026-05,2026-06-29,REWARD-20260629,35000,GROCERY,COMPLETED,0.0,0,0,100000,UNSUPPORTED_PRODUCT_FOR_H07,False,STANDARD,router_aligned_50_fixture,False,0
REW_AL50_00050,PUR_AL50_00050,CUST_0103,CARD_AL50_0035,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,68000,RESTAURANT,COMPLETED,0.005,340,340,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,False,340
REW_AL50_00056,PUR_AL50_00056,CUST_UNREPORTED_006,CARD_AL50_0054,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,78000,RESTAURANT,COMPLETED,0.005,390,390,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,False,390
REW_AL50_00057,PUR_AL50_00057,CUST_UNREPORTED_007,CARD_AL50_0055,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,42000,CAFE,COMPLETED,0.002,84,84,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,False,84
REW_AL50_00058,PUR_AL50_00058,CUST_UNREPORTED_008,CARD_AL50_0056,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,110000,FUEL,COMPLETED,0.007,770,770,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,False,770
REW_AL50_00059,PUR_AL50_00059,CUST_UNREPORTED_009,CARD_AL50_0057,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,260000,MEDICAL,COMPLETED,0.007,1820,1820,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,False,1820
REW_AL50_00060,PUR_AL50_00060,CUST_UNREPORTED_010,CARD_AL50_0058,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,125000,GROCERY,COMPLETED,0.007,875,875,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,False,875
REW_AL50_00061,PUR_AL50_00061,CUST_UNREPORTED_011,CARD_AL50_0059,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,78000,RESTAURANT,COMPLETED,0.005,390,90,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,True,390
REW_AL50_00062,PUR_AL50_00062,CUST_UNREPORTED_012,CARD_AL50_0060,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,42000,CAFE,COMPLETED,0.002,84,0,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,True,84
REW_AL50_00063,PUR_AL50_00063,CUST_UNREPORTED_013,CARD_AL50_0061,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,110000,FUEL,COMPLETED,0.007,770,470,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,True,770
REW_AL50_00064,PUR_AL50_00064,CUST_UNREPORTED_014,CARD_AL50_0062,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,260000,MEDICAL,COMPLETED,0.007,1820,1520,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,True,1820
REW_AL50_00065,PUR_AL50_00065,CUST_UNREPORTED_015,CARD_AL50_0063,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,125000,GROCERY,COMPLETED,0.007,875,575,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,True,875
REW_AL50_00066,PUR_AL50_00066,CUST_UNREPORTED_016,CARD_AL50_0064,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,78000,RESTAURANT,COMPLETED,0.005,390,390,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,False,390
REW_AL50_00067,PUR_AL50_00067,CUST_UNREPORTED_017,CARD_AL50_0065,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,42000,CAFE,COMPLETED,0.002,84,84,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,False,84
REW_AL50_00068,PUR_AL50_00068,CUST_UNREPORTED_018,CARD_AL50_0066,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,110000,FUEL,COMPLETED,0.007,770,770,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,False,770
REW_AL50_00069,PUR_AL50_00069,CUST_UNREPORTED_019,CARD_AL50_0067,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,260000,MEDICAL,COMPLETED,0.007,1820,1820,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,False,1820
REW_AL50_00070,PUR_AL50_00070,CUST_UNREPORTED_020,CARD_AL50_0068,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,125000,GROCERY,COMPLETED,0.007,875,875,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,False,875
REW_AL50_00071,PUR_AL50_00071,CUST_UNREPORTED_021,CARD_AL50_0069,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,78000,RESTAURANT,COMPLETED,0.005,390,390,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,False,390
REW_AL50_00072,PUR_AL50_00072,CUST_UNREPORTED_022,CARD_AL50_0070,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,42000,CAFE,COMPLETED,0.002,84,84,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,False,84
REW_AL50_00073,PUR_AL50_00073,CUST_UNREPORTED_023,CARD_AL50_0071,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,110000,FUEL,COMPLETED,0.007,770,770,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,False,770
REW_AL50_00074,PUR_AL50_00074,CUST_UNREPORTED_024,CARD_AL50_0072,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,260000,MEDICAL,COMPLETED,0.007,1820,1820,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,False,1820
REW_AL50_00075,PUR_AL50_00075,CUST_UNREPORTED_025,CARD_AL50_0073,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,125000,GROCERY,COMPLETED,0.007,875,875,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,False,875
