merchant_id,merchant_name,merchant_category,is_cashback_excluded,merchant_region
M0043,혁신도시로스터리,CAFE,False,전주시 완산구 효자동
M0044,삼천동커피,CAFE,False,전주시 완산구 삼천동
M0045,중앙동빙수,CAFE,False,완주군 이서면
M0046,완산디저트,CAFE,False,전주시 완산구 삼천동
M0047,금암테이크아웃,CAFE,False,전주시 완산구 효자동
M0048,송천동마트,GROCERY,False,전주시 완산구 서신동
M0049,효자동마트,GROCERY,False,완주군 이서면
M0050,서신동슈퍼,GROCERY,False,전주시 덕진구 송천동
M0051,삼천동정육마트,GROCERY,False,전주시 덕진구 금암동
M0052,덕진식자재,GROCERY,False,전주시 완산구 서신동
M0053,금암동과일가게,GROCERY,False,전주시 완산구 효자동
M0054,혁신도시마켓,GROCERY,False,전주시 완산구 서신동
M0055,평화동반찬가게,GROCERY,False,전주시 덕진구 송천동
M0056,전주로컬푸드,GROCERY,False,완주군 이서면
M0057,완산농산물,GROCERY,False,전주시 덕진구 인후동
M0058,효자편의점,CONVENIENCE,False,전주시 완산구 중앙동
M0059,송천편의점,CONVENIENCE,False,전주시 완산구 효자동
M0060,서신편의점,CONVENIENCE,False,전주시 덕진구 송천동
M0061,전북대편의점,CONVENIENCE,False,전주시 덕진구 금암동
M0062,삼천편의점,CONVENIENCE,False,전주시 완산구 서신동
M0063,덕진편의점,CONVENIENCE,False,완주군 이서면
M0064,객사편의점,CONVENIENCE,False,전주시 완산구 서신동
M0065,혁신편의점,CONVENIENCE,False,전주시 완산구 삼천동
M0066,송천동주유소,FUEL,False,전주시 덕진구 인후동
M0067,효자동주유소,FUEL,False,전주시 완산구 서신동
M0068,덕진주유소,FUEL,False,전주시 완산구 삼천동
M0069,완산충전소,FUEL,False,전주시 덕진구 금암동
M0070,삼천동주유소,FUEL,False,전주시 완산구 효자동
M0071,혁신도시주유소,FUEL,False,전주시 완산구 서신동
M0072,익산IC주유소,FUEL,False,전주시 완산구 효자동
M0073,덕진약국,MEDICAL,False,전주시 완산구 효자동
M0074,효자동약국,MEDICAL,False,전주시 완산구 삼천동
M0075,서신동치과,MEDICAL,False,전주시 완산구 서신동
M0076,송천동내과,MEDICAL,False,전주시 완산구 서신동
M0077,완산정형외과,MEDICAL,False,전주시 덕진구 송천동
M0078,전주안과,MEDICAL,False,완주군 이서면
M0079,삼천동한의원,MEDICAL,False,전주시 완산구 효자동
M0080,금암동소아과,MEDICAL,False,완주군 이서면
M0081,국세납부,TAX,True,전주시 완산구 효자동
M0082,지방세납부,TAX,True,전주시 덕진구 송천동
M0083,관세납부,TAX,True,완주군 이서면
M0084,종합소득세납부,TAX,True,완주군 이서면
M0085,전기요금납부,PUBLIC_CHARGE,True,전주시 덕진구 송천동
M0086,도시가스요금납부,PUBLIC_CHARGE,True,완주군 이서면
M0087,상하수도요금납부,PUBLIC_CHARGE,True,전주시 덕진구 금암동
M0088,국민연금납부,PUBLIC_CHARGE,True,전주시 덕진구 송천동
M0089,전북대학교등록금,TUITION,True,전주시 완산구 삼천동
M0090,전주대학교등록금,TUITION,True,전주시 덕진구 인후동
M0091,우석대학교등록금,TUITION,True,완주군 이서면
M0092,전주비전대학교등록금,TUITION,True,전주시 덕진구 송천동
