cohort_month,day,cohort_size,retention_rate
2012-09,D7,399,0.06265664160401002
2012-09,D14,399,0.045112781954887216
2012-09,D30,399,0.02506265664160401
2012-10,D1,434,0.018433179723502304
2012-10,D7,434,0.04608294930875576
2012-10,D14,434,0.04608294930875576
2012-10,D30,434,0.020737327188940093
2012-11,D1,441,0.022675736961451247
2012-11,D7,441,0.05668934240362812
2012-11,D14,441,0.045351473922902494
2012-11,D30,441,0.02040816326530612
2012-12,D1,479,0.022964509394572025
2012-12,D7,479,0.05010438413361169
2012-12,D14,479,0.04592901878914405
2012-12,D30,479,0.031315240083507306
2013-01,D1,504,0.017857142857142856
2013-01,D7,504,0.07936507936507936
2013-01,D14,504,0.051587301587301584
2013-01,D30,504,0.03373015873015873
2013-02,D1,479,0.03549060542797495
2013-02,D7,479,0.04384133611691023
2013-02,D14,479,0.04175365344467641
2013-02,D30,479,0.03966597077244259
2013-03,D1,555,0.018018018018018018
2013-03,D7,555,0.04864864864864865
2013-03,D14,555,0.04144144144144144
2013-03,D30,555,0.02882882882882883
2013-04,D1,566,0.019434628975265017
2013-04,D7,566,0.0636042402826855
2013-04,D14,566,0.04770318021201413
2013-04,D30,566,0.044169611307420496
2013-05,D1,614,0.026058631921824105
2013-05,D7,614,0.05211726384364821
2013-05,D14,614,0.048859934853420196
2013-05,D30,614,0.030944625407166124
2013-06,D1,625,0.0144
2013-06,D7,625,0.0672
2013-06,D14,625,0.0528
2013-06,D30,625,0.0288
2013-07,D1,680,0.007352941176470588
2013-07,D7,680,0.054411764705882354
2013-07,D14,680,0.04264705882352941
2013-07,D30,680,0.01911764705882353
2013-08,D1,714,0.018207282913165267
2013-08,D7,714,0.0700280112044818
2013-08,D14,714,0.049019607843137254
2013-08,D30,714,0.03221288515406162
2013-09,D1,728,0.019230769230769232
2013-09,D7,728,0.06456043956043957
2013-09,D14,728,0.057692307692307696
2013-09,D30,728,0.03159340659340659
2013-10,D1,790,0.0189873417721519
2013-10,D7,790,0.07341772151898734
2013-10,D14,790,0.05443037974683544
2013-10,D30,790,0.03417721518987342
2013-11,D1,804,0.018656716417910446
2013-11,D7,804,0.043532338308457715
2013-11,D14,804,0.03855721393034826
2013-11,D30,804,0.018656716417910446
2013-12,D1,873,0.022909507445589918
2013-12,D7,873,0.056128293241695305
2013-12,D14,873,0.048109965635738834
2013-12,D30,873,0.029782359679266894
2014-01,D1,920,0.021739130434782608
2014-01,D7,920,0.05217391304347826
2014-01,D14,920,0.042391304347826085
2014-01,D30,920,0.030434782608695653
2014-02,D1,871,0.024110218140068886
2014-02,D7,871,0.08610792192881746
2014-02,D14,871,0.06314580941446613
2014-02,D30,871,0.03903559127439724
2014-03,D1,1013,0.01579466929911155
2014-03,D7,1013,0.049358341559723594
2014-03,D14,1013,0.05330700888450148
2014-03,D30,1013,0.04146100691016782
2014-04,D1,1031,0.02521823472356935
2014-04,D7,1031,0.07080504364694472
2014-04,D14,1031,0.05431619786614937
2014-04,D30,1031,0.023278370514064017
2014-05,D1,1119,0.025915996425379804
2014-05,D7,1119,0.05451295799821269
2014-05,D14,1119,0.03842716711349419
2014-05,D30,1119,0.02770330652368186
2014-06,D1,1140,0.02017543859649123
2014-06,D7,1140,0.05350877192982456
2014-06,D14,1140,0.05
2014-06,D30,1140,0.02631578947368421
2014-07,D1,1238,0.021809369951534735
2014-07,D7,1238,0.05977382875605816
2014-07,D14,1238,0.04765751211631664
2014-07,D30,1238,0.03231017770597738
2014-08,D1,1302,0.02227342549923195
2014-08,D7,1302,0.04992319508448541
2014-08,D14,1302,0.047619047619047616
2014-08,D30,1302,0.026881720430107527
2014-09,D1,1326,0.015082956259426848
2014-09,D7,1326,0.05580693815987934
2014-09,D14,1326,0.053544494720965306
2014-09,D30,1326,0.021870286576168928
2014-10,D1,1438,0.02294853963838665
2014-10,D7,1438,0.06258692628650904
2014-10,D14,1438,0.04728789986091794
2014-10,D30,1438,0.034075104311543813
2014-11,D1,1465,0.025938566552901023
2014-11,D7,1465,0.07098976109215017
2014-11,D14,1465,0.04709897610921502
2014-11,D30,1465,0.029351535836177476
2014-12,D1,1592,0.015703517587939697
2014-12,D7,1592,0.06030150753768844
2014-12,D14,1592,0.04020100502512563
2014-12,D30,1592,0.03077889447236181
2015-01,D1,1675,0.02208955223880597
2015-01,D7,1675,0.05492537313432836
2015-01,D14,1675,0.04059701492537313
2015-01,D30,1675,0.028059701492537312
2015-02,D1,1588,0.02455919395465995
2015-02,D7,1588,0.06612090680100756
2015-02,D14,1588,0.05163727959697733
2015-02,D30,1588,0.027707808564231738
2015-03,D1,1846,0.023293607800650054
2015-03,D7,1846,0.05742145178764897
2015-03,D14,1846,0.05037919826652221
2015-03,D30,1846,0.0390032502708559
2015-04,D1,1878,0.01810436634717785
2015-04,D7,1878,0.059637912673056445
2015-04,D14,1878,0.04898828541001065
2015-04,D30,1878,0.024494142705005325
2015-05,D1,2040,0.018137254901960786
2015-05,D7,2040,0.05784313725490196
2015-05,D14,2040,0.04852941176470588
2015-05,D30,2040,0.02892156862745098
2015-06,D1,2077,0.022147327876745306
2015-06,D7,2077,0.058738565238324505
2015-06,D14,2077,0.051035146846413096
2015-06,D30,2077,0.031295137217140105
2015-07,D1,2256,0.019060283687943262
2015-07,D7,2256,0.0678191489361702
2015-07,D14,2256,0.038120567375886524
2015-07,D30,2256,0.026595744680851064
2015-08,D1,2373,0.02107037505267594
2015-08,D7,2373,0.0606826801517067
2015-08,D14,2373,0.05141171512852929
2015-08,D30,2373,0.0269700800674252
2015-09,D1,2416,0.020281456953642384
2015-09,D7,2416,0.057947019867549666
2015-09,D14,2416,0.052980132450331126
2015-09,D30,2416,0.03145695364238411
2015-10,D1,2624,0.020198170731707318
2015-10,D7,2624,0.051448170731707314
2015-10,D14,2624,0.037347560975609755
2015-10,D30,2624,0.023628048780487805
2015-11,D1,2670,0.021348314606741574
2015-11,D7,2670,0.058801498127340826
2015-11,D14,2670,0.04681647940074907
2015-11,D30,2670,0.029213483146067417
2015-12,D1,2901,0.0224060668734919
2015-12,D7,2901,0.05618752154429507
2015-12,D14,2901,0.04722509479489831
2015-12,D30,2901,0.0224060668734919
2016-01,D1,3053,0.019980347199475924
2016-01,D7,3053,0.06943989518506387
2016-01,D14,3053,0.037340320995741895
2016-01,D30,3053,0.02587618735669833
2016-02,D1,3000,0.020666666666666667
2016-02,D7,3000,0.056666666666666664
2016-02,D14,3000,0.04733333333333333
2016-02,D30,3000,0.028666666666666667
2016-03,D1,3370,0.02225519287833828
2016-03,D7,3370,0.055786350148367955
2016-03,D14,3370,0.042136498516320474
2016-03,D30,3370,0.027596439169139467
2016-04,D1,3428,0.015460910151691949
2016-04,D7,3428,0.052508751458576426
2016-04,D14,3428,0.04288214702450408
2016-04,D30,3428,0.025670945157526253
2016-05,D1,3725,0.01664429530201342
2016-05,D7,3725,0.05342281879194631
2016-05,D14,3725,0.04456375838926174
2016-05,D30,3725,0.028456375838926174
2016-06,D1,3790,0.020052770448548814
2016-06,D7,3790,0.06437994722955145
2016-06,D14,3790,0.04538258575197889
2016-06,D30,3790,0.03087071240105541
2016-07,D1,4118,0.01942690626517727
2016-07,D7,4118,0.05730937348227295
2016-07,D14,4118,0.04808159300631375
2016-07,D30,4118,0.025497814473045166
2016-08,D1,4334,0.019843101061375174
2016-08,D7,4334,0.06275957544993079
2016-08,D14,4334,0.04522381172127365
2016-08,D30,4334,0.027918781725888325
2016-09,D1,4409,0.020412792016330235
2016-09,D7,4409,0.061011567248809254
2016-09,D14,4409,0.03969154003175323
2016-09,D30,4409,0.02449535041959628
2016-10,D1,4790,0.01649269311064718
2016-10,D7,4790,0.05887265135699374
2016-10,D14,4790,0.04718162839248434
2016-10,D30,4790,0.029018789144050105
2016-11,D1,4875,0.021128205128205128
2016-11,D7,4875,0.057846153846153846
2016-11,D14,4875,0.04758974358974359
2016-11,D30,4875,0.031384615384615386
2016-12,D1,5295,0.018130311614730877
2016-12,D7,5295,0.05930122757318225
2016-12,D14,5295,0.04891406987724268
2016-12,D30,5295,0.02644003777148253
2017-01,D1,5573,0.023865063699982057
2017-01,D7,5573,0.05831688498115916
2017-01,D14,5573,0.04719181769244572
2017-01,D30,5573,0.02978647048268437
2017-02,D1,5284,0.019871309613928842
2017-02,D7,5284,0.0632096896290689
2017-02,D14,5284,0.04447388342165026
2017-02,D30,5284,0.028955336866010598
2017-03,D1,6141,0.01742387233349617
2017-03,D7,6141,0.056831134994300606
2017-03,D14,6141,0.04331542094121479
2017-03,D30,6141,0.028008467676274223
2017-04,D1,6248,0.01792573623559539
2017-04,D7,6248,0.06258002560819462
2017-04,D14,6248,0.05265685019206146
2017-04,D30,6248,0.03024967989756722
2017-05,D1,6788,0.018562168532704773
2017-05,D7,6788,0.058043606364172065
2017-05,D14,6788,0.040070713022981735
2017-05,D30,6788,0.026812021213906894
2017-06,D1,6908,0.01954255935147655
2017-06,D7,6908,0.05732484076433121
2017-06,D14,6908,0.04646786334684424
2017-06,D30,6908,0.03199189345686161
2017-07,D1,7505,0.02425049966688874
2017-07,D7,7505,0.06169220519653564
2017-07,D14,7505,0.04770153231179214
2017-07,D30,7505,0.028247834776815455
2017-08,D1,7897,0.020007597821957705
2017-08,D7,7897,0.05546410029124984
2017-08,D14,7897,0.04697986577181208
2017-08,D30,7897,0.03178422185640117
2017-09,D1,8035,0.019290603609209707
2017-09,D7,8035,0.06048537647790915
2017-09,D14,8035,0.04604853764779091
2017-09,D30,8035,0.029869321717486
2017-10,D1,8731,0.02050166074905509
2017-10,D7,8731,0.05909975947772306
2017-10,D14,8731,0.046844576795327
2017-10,D30,8731,0.031955102508303745
2017-11,D1,8883,0.01868738038950805
2017-11,D7,8883,0.05786333445907914
2017-11,D14,8883,0.04660587639311044
2017-11,D30,8883,0.029607114713497692
2017-12,D1,9652,0.019581433899709906
2017-12,D7,9652,0.059883961873186904
2017-12,D14,9652,0.046518856195607125
2017-12,D30,9652,0.026004973062577704
2018-01,D1,10156,0.020283576211106734
2018-01,D7,10156,0.0582906656163844
2018-01,D14,10156,0.04509649468294604
2018-01,D30,10156,0.02855454903505317
2018-02,D1,9630,0.022741433021806853
2018-02,D7,9630,0.05960539979231568
2018-02,D14,9630,0.04683281412253375
2018-02,D30,9630,0.02731048805815161
2018-03,D1,11191,0.02001608435349835
2018-03,D7,11191,0.05611652220534358
2018-03,D14,11191,0.047627557858993835
2018-03,D30,11191,0.027343400947189705
2018-04,D1,11387,0.02028629138491262
2018-04,D7,11387,0.05831211030122069
2018-04,D14,11387,0.049442346535522964
2018-04,D30,11387,0.029595152366733993
2018-05,D1,12372,0.020530229550598123
2018-05,D7,12372,0.05908503071451665
2018-05,D14,12372,0.045425153572583254
2018-05,D30,12372,0.028612997090203686
2018-06,D1,12588,0.019621862090880203
2018-06,D7,12588,0.059183349221480774
2018-06,D14,12588,0.04655227200508421
2018-06,D30,12588,0.028598665395614873
2018-07,D1,13678,0.02273724228688405
2018-07,D7,13678,0.05702588097675099
2018-07,D14,13678,0.04233075010966515
2018-07,D30,13678,0.029317151630355316
2018-08,D1,14392,0.020219566425792108
2018-08,D7,14392,0.05815730961645359
2018-08,D14,14392,0.04745692051139522
2018-08,D30,14392,0.027862701500833798
2018-09,D1,14645,0.020621372482075795
2018-09,D7,14645,0.06193240013656538
2018-09,D14,14645,0.04452031410037555
2018-09,D30,14645,0.028269033799931717
2018-10,D1,15911,0.019106278675130414
2018-10,D7,15911,0.05895292564892213
2018-10,D14,15911,0.04763999748601597
2018-10,D30,15911,0.026836779586449627
2018-11,D1,16189,0.021310766569893138
2018-11,D7,16189,0.061646797207980726
2018-11,D14,16189,0.04706899746741615
2018-11,D30,16189,0.028723207115942923
2018-12,D1,17590,0.018646958499147243
2018-12,D7,17590,0.05935190449118818
2018-12,D14,17590,0.0450255827174531
2018-12,D30,17590,0.028368391131324618
2019-01,D1,18510,0.019719070772555376
2019-01,D7,18510,0.06137223122636413
2019-01,D14,18510,0.04937871420853593
2019-01,D30,18510,0.02787682333873582
2019-02,D1,17549,0.01988717305829392
2019-02,D7,17549,0.06131403498774859
2019-02,D14,17549,0.04723915892643456
2019-02,D30,17549,0.029004501681007464
2019-03,D1,20396,0.019709747009217495
2019-03,D7,20396,0.05751127672092567
2019-03,D14,20396,0.04466562070994313
2019-03,D30,20396,0.027701510100019613
2019-04,D1,20752,0.019323438704703162
2019-04,D7,20752,0.05917501927525058
2019-04,D14,20752,0.044622205088666156
2019-04,D30,20752,0.027515420200462607
2019-05,D1,22548,0.019691325172964343
2019-05,D7,22548,0.06018272130565904
2019-05,D14,22548,0.043640234167110166
2019-05,D30,22548,0.027496895511797056
2019-06,D1,22942,0.02035567953970883
2019-06,D7,22942,0.058190218812658005
2019-06,D14,22942,0.04463429517914742
2019-06,D30,22942,0.028463080812483655
2019-07,D1,24926,0.019979138249217685
2019-07,D7,24926,0.05845302094198829
2019-07,D14,24926,0.045294070448527644
2019-07,D30,24926,0.028323838562143946
2019-08,D1,26230,0.021502096835684333
2019-08,D7,26230,0.059054517727792605
2019-08,D14,26230,0.04311856652687762
2019-08,D30,26230,0.027640106747998477
2019-09,D1,26689,0.01948368241597662
2019-09,D7,26689,0.060961444789988384
2019-09,D14,26689,0.043613473715763046
2019-09,D30,26689,0.027576904342613062
2019-10,D1,28998,0.020518656459066142
2019-10,D7,28998,0.05648665425201738
2019-10,D14,28998,0.046761845644527206
2019-10,D30,28998,0.027829505483136768
2019-11,D1,29505,0.020267751228605323
2019-11,D7,29505,0.059955939671242166
2019-11,D14,29505,0.04592441958990002
2019-11,D30,29505,0.02843585832909676
2019-12,D1,32057,0.019714882864896904
2019-12,D7,32057,0.059706148423121316
2019-12,D14,32057,0.04504476401409988
2019-12,D30,32057,0.027575880462925414
2020-01,D1,33733,0.020425103014851925
2020-01,D7,33733,0.056769335665372185
2020-01,D14,33733,0.04422968606409154
2020-01,D30,33733,0.027213707645332465
2020-02,D1,33152,0.02005912162162162
2020-02,D7,33152,0.055773407335907334
2020-02,D14,33152,0.044582528957528955
2020-02,D30,33152,0.027358832046332045
2020-03,D1,37231,0.019607316483575516
2020-03,D7,37231,0.05833848137304934
2020-03,D14,37231,0.04512368724987242
2020-03,D30,37231,0.028470897907657597
2020-04,D1,37884,0.021328265230704257
2020-04,D7,37884,0.05894308943089431
2020-04,D14,37884,0.04643121106535741
2020-04,D30,37884,0.029167986485059656
2020-05,D1,41159,0.01897519376078136
2020-05,D7,41159,0.05852911878325518
2020-05,D14,41159,0.04584659491241284
2020-05,D30,41159,0.03034573240360553
2020-06,D1,41880,0.0194603629417383
2020-06,D7,41880,0.05718720152817574
2020-06,D14,41880,0.045964660936007644
2020-06,D30,41880,0.028342884431709646
2020-07,D1,45502,0.02030679970111204
2020-07,D7,45502,0.05815129005318447
2020-07,D14,45502,0.04637158806206321
2020-07,D30,45502,0.028460287459891872
2020-08,D1,47882,0.020237249906018964
2020-08,D7,47882,0.05985547805020676
2020-08,D14,47882,0.046176016039430265
2020-08,D30,36856,0.027621011504232688
2020-09,D1,35492,0.02059619069085991
2020-09,D7,25685,0.05762117967685419
2020-09,D14,14365,0.04504002784545771
